Symbol: Gd
Atomic Number: 64
Atomic Mass: 157.250000
Start Spectral Index: 4
1 371
2 465
3 158
4 50
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.096792
4 0.098342
4 0.098710
4 0.098791
4 0.099504
4 0.099580
4 0.099649
4 0.099924
4 0.100036
4 0.100273
4 0.100446
4 0.100566
4 0.100655
4 0.100724
4 0.106384
4 0.122837
4 0.130723
4 0.131329
4 0.131671
4 0.132142
4 0.133079
4 0.139324
4 0.147698
4 0.170503
4 0.170601
4 0.173624
3 0.181347
4 0.181532
3 0.194626
3 0.197434
3 0.197524
4 0.199789
3 0.200944
3 0.201872
3 0.202847
3 0.204668
4 0.204994
3 0.205845
4 0.206196
4 0.207106
4 0.207732
3 0.208074
4 0.209496
3 0.209887
3 0.212635
3 0.214871
3 0.217752
3 0.222464
3 0.223742
3 0.224054
3 0.224445
3 0.225088
3 0.225775
3 0.229322
4 0.229760
3 0.230109
3 0.230443
3 0.230774
3 0.231421
3 0.231427
3 0.231580
3 0.232383
3 0.232389
3 0.232449
3 0.233006
3 0.233573
3 0.233674
3 0.233969
3 0.234060
3 0.234346
3 0.234724
4 0.235338
3 0.236003
3 0.236159
3 0.236263
3 0.236310
3 0.236398
3 0.236594
3 0.237410
3 0.237501
4 0.237990
3 0.238211
4 0.238638
3 0.238855
3 0.238950
4 0.239080
4 0.239303
4 0.239402
3 0.239459
4 0.239649
4 0.239695
4 0.239700
3 0.239807
4 0.239860
4 0.240343
3 0.240576
3 0.240914
3 0.241008
4 0.241294
4 0.242000
4 0.244058
4 0.244112
3 0.246759
2 0.246897
4 0.246935
3 0.246989
2 0.247233
2 0.248642
2 0.248821
2 0.248947
2 0.249404
2 0.249710
2 0.249979
3 0.250028
3 0.252114
3 0.253487
3 0.253686
2 0.254444
3 0.255233
3 0.255467
3 0.255481
3 0.256410
3 0.256523
3 0.256581
3 0.256672
3 0.257004
3 0.257434
3 0.257683
3 0.257692
3 0.257890
3 0.257953
3 0.258439
2 0.258690
3 0.258898
3 0.258923
3 0.259659
3 0.261055
3 0.262018
3 0.262230
3 0.262430
3 0.262626
3 0.262888
3 0.262977
3 0.263061
3 0.263308
3 0.263411
3 0.263650
3 0.263723
3 0.263794
3 0.263876
3 0.263885
