Symbol: Tb
Atomic Number: 65
Atomic Mass: 158.925000
Start Spectral Index: 4
1 248
2 423
4 48
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.117658
4 0.119201
4 0.120058
4 0.121394
4 0.122122
4 0.123504
4 0.125940
4 0.130148
4 0.130830
4 0.131170
4 0.131512
4 0.132556
4 0.132767
4 0.136756
4 0.136771
4 0.136964
4 0.137386
4 0.137646
4 0.137823
4 0.138100
4 0.138283
4 0.138992
4 0.151617
4 0.153010
4 0.159539
4 0.163319
4 0.164938
4 0.165475
4 0.166758
4 0.167255
4 0.168198
4 0.168446
4 0.168537
4 0.169195
4 0.169523
4 0.169836
4 0.170160
4 0.170479
4 0.170505
4 0.194394
4 0.197090
4 0.202844
4 0.202987
4 0.204954
4 0.207949
4 0.209064
4 0.233326
4 0.243675
2 0.257850
2 0.258538
2 0.259108
2 0.259220
2 0.259342
2 0.259849
2 0.260371
2 0.260935
2 0.262947
2 0.265675
2 0.266219
2 0.266243
2 0.266843
2 0.266965
2 0.267008
2 0.267492
2 0.267548
2 0.267895
2 0.268477
2 0.268862
2 0.269270
2 0.269385
2 0.269421
2 0.269626
2 0.269763
2 0.270487
2 0.273705
2 0.276029
2 0.277035
2 0.278531
2 0.280134
2 0.280358
2 0.281013
2 0.281347
2 0.285298
2 0.285852
2 0.288714
2 0.289530
2 0.289829
2 0.289971
2 0.290239
2 0.291115
2 0.291560
2 0.291615
2 0.291645
2 0.291709
2 0.291974
2 0.292502
2 0.292539
2 0.293375
2 0.294091
2 0.295707
2 0.296974
2 0.297865
2 0.298790
2 0.298944
2 0.299687
2 0.299990
2 0.300640
2 0.301018
2 0.301147
2 0.301706
2 0.302005
2 0.302117
2 0.302431
2 0.302821
2 0.303248
2 0.304585
2 0.305202
2 0.305413
2 0.305444
2 0.306367
2 0.306498
2 0.306658
2 0.306809
2 0.306992
2 0.307094
2 0.307349
2 0.307975
2 0.308326
2 0.308768
2 0.308933
2 0.309048
2 0.310344
2 0.310386
2 0.311879
2 0.312052
2 0.312285
2 0.312396
2 0.312545
2 0.313226
2 0.313517
2 0.314055
2 0.314097
2 0.314613
2 0.314758
2 0.314795
2 0.314806
2 0.314962
2 0.315653
2 0.316334
2 0.316385
2 0.316666
2 0.316844
2 0.316924
2 0.317076
2 0.317468
2 0.317558
2 0.318146
2 0.318480
2 0.318818
2 0.318895
2 0.319561
2 0.319652
2 0.320048
2 0.321986
2 0.322091
2 0.323096
2 0.323199
2 0.324053
2 0.324094
2 0.325326
2 0.326391
2 0.326481
2 0.326584
2 0.326734
2 0.327508
2 0.327527
2 0.327826
2 0.328126
2 0.328235
2 0.328405
2 0.328599
2 0.328850
2 0.329251
2 0.329402
2 0.329628
2 0.329961
2 0.330590
2 0.330839
2 0.330946
2 0.331533
2 0.332211
2 0.332324
2 0.332434
2 0.332485
2 0.332536
2 0.333004
2 0.333544
2 0.333766
2 0.333899
2 0.333996
2 0.334823
2 0.334903
2 0.335038
2 0.336322
2 0.336590
2 0.337158
2 0.337247
2 0.337333
2 0.337369
2 0.337600
2 0.337970
2 0.337983
2 0.338377
2 0.339157
2 0.339225
2 0.339933
2 0.340008
2 0.340151
2 0.340184
2 0.340331
2 0.341138
2 0.341166
2 0.341474
2 0.341722
2 0.342132
2 0.343159
2 0.343424
2 0.344071
2 0.344136
2 0.344557
2 0.344739
2 0.345045
2 0.345505
2 0.346137
2 0.346396
2 0.346902
2 0.347272
2 0.347336
2 0.347378
2 0.347399
2 0.348117
2 0.348404
2 0.348469
2 0.349051
2 0.349300
2 0.349521
2 0.349636
2 0.350184
2 0.350845
2 0.351017
2 0.351110
2 0.351410
2 0.352077
2 0.352467
2 0.352615
2 0.352662
2 0.353733
2 0.353895
2 0.354125
2 0.354490
2 0.355297
2 0.356276
2 0.356392
2 0.356837
2 0.356954
2 0.357000
2 0.357309
2 0.358022
2 0.358605
2 0.358846
2 0.359741
2 0.359909
2 0.360147
2 0.360593
2 0.361236
2 0.361566
2 0.361669
2 0.361761
2 0.361889
2 0.362076
2 0.362657
2 0.362753
2 0.363047
2 0.363433
2 0.363950
2 0.364270
2 0.364810
2 0.364879
2 0.365144
2 0.365592
2 0.365992
2 0.366416
2 0.367740
2 0.367894
2 0.368331
2 0.368920
2 0.369220
2 0.369400
1 0.369463
2 0.369790
1 0.370117
2 0.370391
1 0.370417
2 0.370497
2 0.371036
2 0.371282
2 0.372051
2 0.373097
2 0.373345
1 0.374610
2 0.374824
2 0.374841
2 0.375631
2 0.375851
2 0.375897
1 0.376042
1 0.376221
1 0.376621
2 0.377756
1 0.378460
2 0.378830
1 0.379100
1 0.379328
2 0.380288
2 0.380793
1 0.383135
1 0.383451
2 0.384359
2 0.384670
2 0.384982
2 0.387085
2 0.387527
1 0.388444
1 0.388932
1 0.389574
1 0.389709
2 0.389768
1 0.389899
2 0.390030
1 0.390244
1 0.390917
1 0.391025
1 0.391066
1 0.391654
2 0.392063
2 0.392321
2 0.392385
2 0.392656
2 0.393635
2 0.394064
2 0.394801
2 0.395948
2 0.397796
2 0.398300
2 0.398498
2 0.400053
2 0.400332
2 0.400372
2 0.400660
1 0.401117
2 0.401388
1 0.401439
2 0.402028
2 0.402161
1 0.402402
1 0.402591
2 0.403280
1 0.403342
2 0.403417
1 0.403736
1 0.404000
2 0.405300
2 0.405401
1 0.405527
1 0.406152
2 0.406202
1 0.406273
2 0.406504
2 0.406737
1 0.407637
1 0.408239
1 0.408775
1 0.409335
2 0.409553
1 0.409565
2 0.410506
1 0.410653
1 0.411366
1 0.412108
1 0.414468
2 0.414558
1 0.415970
1 0.417027
1 0.417050
1 0.417223
1 0.417378
1 0.417400
1 0.417465
1 0.418739
1 0.418834
1 0.419792
2 0.420218
1 0.420492
1 0.420768
1 0.421469
2 0.421561
1 0.421628
1 0.421875
1 0.422035
1 0.422547
2 0.422764
1 0.423308
1 0.423401
1 0.423654
1 0.425644
2 0.425943
1 0.426486
1 0.426754
1 0.427089
1 0.427641
2 0.427972
2 0.428634
1 0.429091
1 0.429957
1 0.430111
1 0.430416
1 0.430839
1 0.431163
1 0.431277
1 0.431446
1 0.432004
1 0.432345
2 0.432705
1 0.432765
1 0.433012
1 0.433334
1 0.433765
1 0.433886
1 0.433963
1 0.434184
1 0.434375
2 0.435442
1 0.435731
1 0.435803
1 0.436139
2 0.436853
1 0.437325
1 0.438368
1 0.438946
1 0.439214
2 0.441751
1 0.442143
1 0.442434
1 0.443396
1 0.443737
1 0.444063
1 0.444929
1 0.446894
1 0.449433
2 0.451030
1 0.451279
2 0.451423
2 0.451558
2 0.452099
2 0.452628
2 0.453310
1 0.453540
1 0.453841
1 0.453850
1 0.455035
2 0.455100
1 0.455173
1 0.455774
2 0.456352
2 0.456497
2 0.456613
2 0.457447
2 0.457997
2 0.458612
2 0.459285
1 0.459367
2 0.460539
1 0.461325
2 0.461721
1 0.461878
2 0.462065
2 0.462762
2 0.462824
1 0.463337
1 0.463789
2 0.463829
2 0.464230
2 0.464328
2 0.464661
1 0.464853
1 0.465968
1 0.466410
1 0.466676
1 0.467071
1 0.467821
1 0.468318
1 0.468383
2 0.468410
2 0.468994
2 0.469442
2 0.469470
2 0.470373
2 0.470926
2 0.471739
2 0.472948
1 0.473552
1 0.474126
1 0.474913
2 0.475386
2 0.475977
2 0.476152
2 0.476370
2 0.476580
2 0.477970
2 0.478014
1 0.478812
2 0.479125
2 0.480321
1 0.481512
2 0.483894
1 0.484174
2 0.484404
2 0.484624
1 0.485617
2 0.485790
2 0.486023
2 0.487693
2 0.487748
2 0.488251
1 0.491727
1 0.492546
1 0.492821
1 0.493031
1 0.493317
2 0.497238
1 0.497281
1 0.497443
2 0.498155
1 0.498195
2 0.499521
2 0.499723
1 0.499934
2 0.500750
1 0.502356
2 0.502564
1 0.502605
1 0.503452
2 0.504347
1 0.505571
1 0.506720
1 0.507967
2 0.508147
1 0.508253
2 0.509054
1 0.509108
1 0.510251
1 0.510998
1 0.511982
1 0.512161
1 0.513312
2 0.514251
1 0.514901
1 0.516571
1 0.517157
1 0.517205
1 0.517795
1 0.518141
1 0.518603
1 0.518757
1 0.518992
1 0.520031
1 0.520422
1 0.520600
1 0.520942
1 0.521573
1 0.522344
1 0.522958
1 0.523657
1 0.525017
2 0.526357
1 0.527650
1 0.528252
1 0.530620
1 0.530967
1 0.531094
1 0.532071
1 0.533252
1 0.533938
1 0.534007
2 0.534932
1 0.535637
1 0.537121
1 0.537747
2 0.540356
1 0.541515
1 0.541771
2 0.542561
1 0.542794
1 0.544489
1 0.545852
1 0.546133
2 0.547186
1 0.548297
1 0.551114
1 0.551607
1 0.552565
1 0.552715
1 0.556748
1 0.564037
2 0.568732
1 0.568806
1 0.574917
1 0.576426
2 0.578678
1 0.579725
2 0.580474
1 0.581697
1 0.584459
1 0.585269
1 0.587225
1 0.590047
1 0.590404
1 0.590635
1 0.592242
1 0.594103
1 0.594182
1 0.595282
2 0.596899
1 0.604064
1 0.604105
2 0.610598
1 0.629417
2 0.633343
2 0.633666
2 0.644865
1 0.652048
2 0.657586
1 0.658364
2 0.660899
2 0.667978
1 0.670446
2 0.670864
2 0.678699
2 0.679646
2 0.687608
2 0.689827
1 0.690185
1 0.690388
2 0.700792
2 0.708480
2 0.709117
1 0.711465
1 0.718946
2 0.719787
1 0.720627
1 0.723697
1 0.725973
1 0.731358
2 0.735090
2 0.740031
2 0.742628
2 0.743167
1 0.747421
1 0.748660
1 0.749751
1 0.749818
2 0.750176
1 0.751347
2 0.752184
2 0.755967
2 0.758412
1 0.758958
1 0.759233
1 0.759853
2 0.760327
2 0.761811
1 0.762615
1 0.762991
2 0.764115
2 0.767483
2 0.769686
2 0.770828
2 0.772910
1 0.773976
1 0.779534
2 0.780948
2 0.783507
2 0.785795
1 0.786715
1 0.788787
1 0.791529
2 0.793008
1 0.795750
1 0.800023
1 0.800324
2 0.801236
2 0.802763
1 0.805601
2 0.806957
2 0.808728
1 0.816641
1 0.817395
2 0.819707
1 0.821483
1 0.821659
1 0.826135
2 0.845238
2 0.846813
1 0.850504
1 0.851414
2 0.858581
1 0.860576
1 0.868063
2 0.876815
End Spectral Lines:
