Symbol: Ho
Atomic Number: 67
Atomic Mass: 164.930000
Start Spectral Index: 2
1 282
2 284
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.250366
2 0.250929
2 0.251431
2 0.251949
1 0.253456
2 0.253762
1 0.255761
2 0.256850
1 0.258729
2 0.259183
1 0.259377
2 0.260664
2 0.261129
2 0.261477
2 0.262598
1 0.264088
2 0.264109
2 0.265047
2 0.266703
2 0.268983
2 0.271445
2 0.273476
2 0.275116
2 0.276017
2 0.276767
2 0.277071
2 0.277365
2 0.277792
2 0.279523
2 0.280082
2 0.280755
2 0.281082
2 0.281219
2 0.281283
2 0.281557
2 0.282503
2 0.282747
2 0.283252
2 0.283582
2 0.283668
2 0.284502
2 0.284552
2 0.284994
2 0.286207
2 0.286233
2 0.286356
2 0.287283
2 0.287490
2 0.287527
2 0.288110
2 0.288183
2 0.289584
2 0.289647
2 0.290169
2 0.291026
2 0.291667
2 0.292047
2 0.292621
2 0.292695
2 0.292916
2 0.294291
2 0.294535
2 0.295397
2 0.297387
2 0.298050
2 0.298233
2 0.298635
2 0.298851
2 0.299114
2 0.299673
2 0.300898
2 0.301548
2 0.303957
2 0.305027
2 0.305489
2 0.305834
2 0.307519
2 0.308324
2 0.308526
2 0.308744
2 0.310921
2 0.311081
2 0.311940
2 0.313190
2 0.313530
2 0.314527
2 0.315709
2 0.315788
2 0.316058
2 0.316754
2 0.317264
2 0.317470
2 0.317576
2 0.317789
2 0.318242
2 0.318476
2 0.318540
1 0.318729
2 0.319875
2 0.320269
2 0.320779
2 0.321134
2 0.322235
2 0.323427
2 0.323783
2 0.323833
2 0.325839
2 0.327909
2 0.328019
2 0.328292
2 0.328941
2 0.329191
2 0.330611
2 0.332083
2 0.332121
2 0.333289
2 0.333819
2 0.333982
2 0.334454
2 0.334543
2 0.335145
2 0.335306
2 0.335451
2 0.335554
2 0.335887
2 0.336524
2 0.337184
2 0.337513
2 0.339172
2 0.339557
2 0.339996
2 0.341124
2 0.341163
2 0.341588
2 0.341744
2 0.342261
2 0.342632
2 0.342911
2 0.343016
2 0.343308
1 0.345034
2 0.345413
2 0.345669
2 0.345699
2 0.346296
2 0.346806
2 0.347490
2 0.347525
2 0.348584
2 0.349058
2 0.349409
2 0.349576
2 0.349988
2 0.350795
2 0.351037
1 0.351173
2 0.351660
2 0.352095
2 0.354177
2 0.354706
2 0.355780
2 0.356117
2 0.357426
2 0.357582
1 0.358014
2 0.358177
2 0.358285
2 0.359326
2 0.359980
1 0.360051
2 0.360198
2 0.361434
1 0.361946
2 0.362772
2 0.362828
2 0.363280
2 0.363934
1 0.366333
1 0.366403
1 0.366769
1 0.366901
2 0.367009
1 0.367057
2 0.367582
1 0.368024
1 0.368075
1 0.368370
2 0.368621
1 0.369170
1 0.369300
1 0.370109
2 0.370340
1 0.371082
1 0.371394
1 0.372178
1 0.373246
1 0.373315
1 0.373741
2 0.374924
2 0.375480
1 0.377016
2 0.378916
2 0.379783
2 0.381181
1 0.381294
2 0.381433
2 0.382281
1 0.383036
2 0.383300
2 0.383644
2 0.383860
2 0.384314
2 0.384495
2 0.384782
1 0.385097
2 0.385349
2 0.385516
2 0.385803
2 0.385881
2 0.386277
1 0.386372
2 0.387315
2 0.387519
2 0.387578
2 0.388271
2 0.389006
1 0.389152
2 0.389212
2 0.389786
2 0.390334
1 0.390555
2 0.390679
1 0.391291
1 0.392056
2 0.393755
1 0.393997
2 0.394165
1 0.395168
1 0.395685
2 0.396063
1 0.396080
1 0.397700
1 0.397805
2 0.398684
2 0.399486
1 0.400071
2 0.400372
1 0.400452
1 0.401463
2 0.401533
2 0.401923
2 0.402390
2 0.402508
1 0.402653
1 0.402835
1 0.403000
1 0.403294
1 0.403876
2 0.404001
1 0.404195
2 0.404658
1 0.404866
1 0.405508
2 0.405563
1 0.405870
1 0.406146
2 0.406624
1 0.406872
1 0.406920
1 0.407298
1 0.407428
1 0.407466
2 0.408138
1 0.408482
1 0.408624
1 0.408850
1 0.408874
1 0.409279
1 0.409594
1 0.410138
1 0.410500
1 0.410620
1 0.410766
1 0.410852
1 0.410978
1 0.411316
1 0.411388
1 0.411789
1 0.412136
1 0.412681
1 0.412832
1 0.413571
1 0.413739
1 0.414051
1 0.414336
1 0.415014
2 0.415378
1 0.416420
1 0.417341
1 0.417441
1 0.419553
1 0.419926
1 0.420439
2 0.421249
1 0.422348
1 0.422466
1 0.422823
2 0.423071
1 0.423243
1 0.424497
1 0.425563
2 0.425981
1 0.426525
1 0.426724
2 0.427483
1 0.431225
2 0.433186
2 0.433835
2 0.434806
1 0.435195
2 0.435795
2 0.436516
2 0.438037
2 0.438606
2 0.440179
2 0.440248
1 0.440451
2 0.442180
1 0.444588
2 0.447485
2 0.447890
2 0.448583
1 0.451209
2 0.452741
2 0.453135
1 0.453255
2 0.453292
1 0.453585
1 0.456380
2 0.461061
1 0.461466
1 0.462013
1 0.462952
2 0.463040
2 0.465107
2 0.466263
2 0.467593
2 0.470249
2 0.470301
2 0.471116
1 0.471271
1 0.471884
2 0.473004
2 0.473933
2 0.474337
2 0.475042
1 0.475273
1 0.475834
2 0.476372
2 0.476490
2 0.477882
1 0.478076
1 0.478253
1 0.478426
1 0.478763
2 0.479282
2 0.479726
1 0.480021
2 0.481427
2 0.483366
1 0.483467
2 0.485690
1 0.486175
2 0.489104
1 0.489372
2 0.489781
2 0.490836
1 0.492410
1 0.493627
1 0.494039
1 0.494818
2 0.494956
2 0.496080
2 0.496241
2 0.496812
2 0.496860
1 0.498136
1 0.499035
1 0.499644
1 0.501382
2 0.501468
1 0.502793
1 0.502957
2 0.503435
1 0.503900
1 0.504378
1 0.504614
2 0.505285
2 0.505633
1 0.506216
1 0.507575
1 0.509449
1 0.512924
2 0.513070
2 0.514402
2 0.514465
2 0.515102
1 0.516932
1 0.518355
1 0.518929
2 0.519156
1 0.519668
1 0.522299
1 0.524593
1 0.525328
1 0.527695
1 0.530272
1 0.532072
1 0.532113
1 0.533159
1 0.536148
1 0.538290
1 0.538606
1 0.538647
1 0.539535
1 0.540467
1 0.540858
2 0.541512
2 0.543590
1 0.543738
1 0.544690
2 0.545130
1 0.545342
2 0.545550
1 0.550010
1 0.550604
2 0.551709
2 0.551798
1 0.553587
1 0.555468
1 0.556248
1 0.556807
2 0.557551
1 0.561520
1 0.562916
2 0.562980
1 0.564219
1 0.566115
1 0.567627
1 0.569305
1 0.569815
1 0.573561
1 0.574083
1 0.575117
1 0.582351
1 0.584109
1 0.586190
1 0.586605
1 0.587248
1 0.588462
1 0.589419
1 0.590593
1 0.592340
1 0.593535
1 0.594968
1 0.595763
1 0.597441
1 0.597517
1 0.598309
1 0.598456
1 0.600370
1 0.600699
1 0.602310
1 0.604064
1 0.605239
1 0.606199
1 0.608347
1 0.613530
1 0.615808
1 0.615828
1 0.619339
1 0.621037
1 0.623589
1 0.625748
1 0.630710
1 0.630842
1 0.635611
1 0.637435
1 0.637562
1 0.641518
1 0.647356
1 0.648096
1 0.651710
1 0.654080
1 0.655278
1 0.656189
1 0.660240
1 0.660676
1 0.660929
1 0.663018
1 0.663082
