Symbol: Er
Atomic Number: 68
Atomic Mass: 167.260000
Start Spectral Index: 3
1 232
2 285
3 120
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.216594
3 0.219146
3 0.219884
3 0.222467
3 0.223304
3 0.223597
3 0.224630
3 0.225665
3 0.227006
3 0.227835
3 0.230990
2 0.235923
3 0.235941
3 0.235951
3 0.236005
3 0.236836
3 0.237623
3 0.237780
3 0.238198
3 0.238213
3 0.238248
2 0.238731
2 0.238790
3 0.239269
3 0.239381
3 0.239433
3 0.239713
3 0.239964
3 0.240348
3 0.240531
3 0.241120
3 0.242055
3 0.242321
3 0.243225
2 0.244713
3 0.246535
3 0.249279
3 0.250935
3 0.253179
3 0.253312
3 0.253752
2 0.253778
3 0.254167
3 0.254407
3 0.254671
2 0.254804
3 0.255799
3 0.257151
3 0.258079
2 0.258750
2 0.258781
3 0.259032
3 0.259149
3 0.259234
3 0.259261
2 0.259335
2 0.259581
3 0.259917
3 0.259996
3 0.260440
3 0.260569
3 0.261531
3 0.261842
3 0.261918
3 0.261972
2 0.262496
3 0.262597
3 0.262715
3 0.263831
3 0.263856
3 0.265228
2 0.267105
2 0.267304
2 0.267615
3 0.268390
3 0.272410
3 0.273934
3 0.274008
2 0.274012
3 0.274222
3 0.274684
2 0.275100
3 0.275301
2 0.275582
2 0.275644
3 0.275701
3 0.276005
3 0.276274
3 0.276348
3 0.276793
3 0.276954
2 0.277084
3 0.277289
3 0.277562
3 0.277637
2 0.277979
3 0.278142
3 0.278393
3 0.279336
2 0.280336
3 0.280493
2 0.280518
3 0.280670
3 0.280927
2 0.282102
3 0.282558
3 0.283117
3 0.283278
3 0.283386
2 0.283474
2 0.283954
3 0.284613
3 0.284692
2 0.284921
3 0.285047
2 0.285625
2 0.286068
3 0.287036
3 0.287908
2 0.289781
2 0.289837
2 0.290532
2 0.291043
2 0.291121
2 0.291647
2 0.293013
2 0.294614
2 0.294748
3 0.295679
3 0.295949
2 0.296539
2 0.296963
2 0.297534
2 0.297655
2 0.298467
2 0.300329
2 0.300353
2 0.301335
2 0.301772
2 0.302683
2 0.302915
2 0.303219
2 0.303710
2 0.305531
3 0.305599
2 0.306711
3 0.307129
2 0.307163
2 0.307342
2 0.307423
2 0.307976
2 0.308298
2 0.308492
2 0.310009
3 0.310130
2 0.310768
2 0.311433
2 0.311444
2 0.312363
2 0.313343
2 0.313368
2 0.314201
2 0.314206
2 0.314524
2 0.315520
3 0.316717
3 0.317339
3 0.317437
3 0.317666
2 0.318284
2 0.318434
2 0.318617
2 0.320151
2 0.320608
2 0.321537
3 0.321588
2 0.322166
2 0.322424
2 0.322809
2 0.323151
2 0.323296
2 0.323891
2 0.325028
2 0.325999
2 0.326005
2 0.326572
2 0.326804
2 0.326812
2 0.327035
2 0.327916
2 0.328027
2 0.328117
2 0.328772
3 0.330218
2 0.330483
2 0.330490
2 0.330651
2 0.331337
2 0.331734
2 0.332415
2 0.333062
2 0.333366
2 0.333821
2 0.333875
2 0.334099
3 0.334196
2 0.334280
2 0.334700
2 0.335102
2 0.335122
2 0.336505
2 0.336899
1 0.336910
2 0.337152
2 0.337368
2 0.337514
2 0.338229
1 0.338303
2 0.338605
2 0.339071
2 0.339297
2 0.339704
2 0.339781
2 0.340281
2 0.341861
2 0.342937
2 0.344212
1 0.344367
1 0.347050
2 0.347270
2 0.348041
3 0.348154
2 0.348685
2 0.348782
2 0.349786
2 0.350010
1 0.350378
2 0.350938
2 0.351590
2 0.351919
2 0.352592
1 0.354060
2 0.354927
2 0.355085
2 0.355422
1 0.355904
1 0.355973
2 0.356092
1 0.356619
2 0.357177
1 0.357926
2 0.358154
1 0.358762
1 0.359178
3 0.359399
1 0.359687
2 0.360053
2 0.360086
2 0.360593
1 0.360845
2 0.361759
2 0.361888
2 0.361995
1 0.362907
1 0.363040
2 0.363458
1 0.363571
1 0.363972
2 0.364698
2 0.365145
2 0.365362
2 0.365391
1 0.366549
2 0.367006
2 0.368375
1 0.368506
2 0.368533
2 0.369370
2 0.369730
1 0.369873
2 0.370177
2 0.370869
2 0.371345
3 0.371673
1 0.372041
2 0.373058
2 0.373232
2 0.373922
3 0.374049
2 0.374216
2 0.374370
1 0.374850
1 0.375712
2 0.378208
2 0.378792
2 0.378894
2 0.379291
1 0.379387
2 0.379814
1 0.381141
3 0.381786
2 0.383157
1 0.385100
2 0.385269
1 0.385699
2 0.385948
1 0.386395
2 0.388171
2 0.388399
2 0.389171
1 0.389378
2 0.389733
2 0.390387
1 0.390509
2 0.390567
1 0.390651
2 0.390742
1 0.391916
2 0.391946
2 0.392299
2 0.393336
1 0.393812
2 0.393974
1 0.394554
1 0.394918
1 0.395260
1 0.395754
3 0.396399
1 0.396747
1 0.397416
1 0.397470
2 0.397584
1 0.397785
1 0.397814
1 0.398346
1 0.398866
1 0.398879
1 0.399228
1 0.400518
1 0.400909
2 0.400931
2 0.401029
3 0.401083
1 0.401371
2 0.401671
1 0.402165
1 0.402269
2 0.404415
1 0.404810
2 0.404948
2 0.405063
2 0.405662
1 0.406066
2 0.406093
1 0.407903
2 0.408239
1 0.408878
3 0.408973
1 0.409406
1 0.409926
2 0.410172
