Symbol: N
Atomic Number: 7
Atomic Mass: 14.006700
Start Spectral Index: 7
1 1121
2 745
3 1378
4 536
5 411
6 90
7 137
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
7 0.001912
7 0.001912
7 0.001936
7 0.001936
7 0.001983
7 0.001983
7 0.002091
7 0.002091
6 0.002302
6 0.002328
6 0.002377
6 0.002383
7 0.002478
7 0.002478
6 0.002490
6 0.002491
6 0.002505
6 0.002879
6 0.002908
6 0.002953
7 0.008362
7 0.008362
7 0.008362
7 0.008362
7 0.008368
7 0.008368
7 0.008368
7 0.008848
7 0.008848
7 0.008848
7 0.008849
7 0.008855
7 0.008855
7 0.008855
7 0.009909
7 0.009909
7 0.009910
7 0.009910
7 0.009917
7 0.009917
7 0.009918
6 0.010488
6 0.010715
6 0.011062
6 0.011671
6 0.011679
6 0.011679
6 0.011679
6 0.011683
6 0.011683
6 0.011683
6 0.011739
6 0.011739
6 0.011743
6 0.012182
6 0.012207
6 0.013029
6 0.013029
6 0.013029
6 0.013029
6 0.013034
6 0.013034
6 0.013034
5 0.013125
5 0.013125
6 0.013184
6 0.013184
6 0.013189
5 0.013238
5 0.013238
7 0.013373
7 0.013374
7 0.013378
7 0.013379
7 0.013387
7 0.013389
7 0.013393
5 0.013399
5 0.013399
5 0.013642
5 0.013643
6 0.013660
6 0.013722
5 0.014036
5 0.014036
5 0.014672
5 0.014677
5 0.014677
5 0.014686
5 0.014692
5 0.014742
5 0.014743
5 0.014812
5 0.014817
5 0.014817
5 0.014832
5 0.014838
5 0.015011
5 0.015017
5 0.015017
5 0.015042
5 0.015048
5 0.015313
5 0.015319
5 0.015319
5 0.015362
5 0.015368
5 0.015802
5 0.015809
5 0.015809
5 0.015886
5 0.015893
4 0.016120
4 0.016122
4 0.016122
4 0.016122
4 0.016126
4 0.016126
4 0.016232
4 0.016234
4 0.016234
4 0.016234
4 0.016237
4 0.016237
5 0.016256
5 0.016256
4 0.016392
4 0.016393
4 0.016393
4 0.016393
4 0.016397
4 0.016397
4 0.016479
4 0.016594
4 0.016632
4 0.016634
4 0.016634
4 0.016634
4 0.016638
4 0.016638
5 0.016687
5 0.016695
5 0.016695
4 0.016707
4 0.016771
5 0.016851
5 0.016859
4 0.017007
4 0.017019
4 0.017021
4 0.017021
4 0.017021
4 0.017025
4 0.017025
4 0.017217
6 0.017328
6 0.017387
6 0.017387
6 0.017387
6 0.017396
6 0.017396
6 0.017396
6 0.017407
4 0.017460
6 0.018065
6 0.018065
6 0.018075
4 0.018175
4 0.018315
6 0.018519
4 0.018523
4 0.018526
4 0.018526
4 0.018531
4 0.018531
4 0.018531
4 0.018555
4 0.018557
4 0.018562
5 0.018607
5 0.018615
5 0.018615
4 0.018622
4 0.018669
4 0.018671
4 0.018671
4 0.018676
4 0.018676
4 0.018676
4 0.018712
4 0.018714
4 0.018719
6 0.018790
4 0.018858
4 0.018861
4 0.018866
4 0.018874
4 0.018877
4 0.018877
4 0.018882
4 0.018882
4 0.018882
4 0.018936
4 0.018939
4 0.018944
5 0.019016
5 0.019025
4 0.019123
4 0.019165
4 0.019165
4 0.019167
4 0.019170
4 0.019173
4 0.019175
4 0.019188
4 0.019190
4 0.019190
4 0.019195
4 0.019195
4 0.019195
4 0.019282
4 0.019285
4 0.019286
4 0.019286
4 0.019289
4 0.019290
4 0.019294
4 0.019314
4 0.019316
4 0.019321
4 0.019518
4 0.019521
4 0.019521
4 0.019526
4 0.019526
4 0.019526
4 0.019679
4 0.019682
4 0.019682
4 0.019687
4 0.019687
4 0.019687
4 0.019692
4 0.019694
4 0.019700
4 0.019723
4 0.019874
4 0.019876
4 0.019882
4 0.019908
4 0.019911
4 0.019911
4 0.019916
4 0.019916
4 0.020034
4 0.020251
4 0.020254
4 0.020254
4 0.020260
4 0.020260
4 0.020260
4 0.020594
4 0.020597
4 0.020597
4 0.020603
4 0.020603
4 0.020603
4 0.020811
4 0.020813
4 0.020814
4 0.020815
4 0.020818
4 0.020820
5 0.020927
5 0.020931
4 0.020938
4 0.020941
4 0.020947
4 0.020984
4 0.021140
4 0.021168
4 0.021429
4 0.021484
4 0.021575
4 0.021721
4 0.021790
4 0.021804
4 0.021807
4 0.021808
4 0.021809
4 0.021813
4 0.021814
4 0.021825
4 0.022012
4 0.022028
7 0.022299
7 0.022300
7 0.022301
7 0.022302
7 0.022312
7 0.022312
7 0.022312
7 0.022312
7 0.022314
7 0.022314
7 0.022316
7 0.022316
7 0.022317
4 0.022340
4 0.022463
4 0.022511
4 0.022514
4 0.022514
4 0.022521
4 0.022521
4 0.022521
4 0.022703
4 0.023211
4 0.023214
4 0.023222
4 0.023412
4 0.023414
4 0.023417
4 0.023420
4 0.023420
4 0.023425
4 0.023607
4 0.023787
4 0.023790
4 0.023799
3 0.023799
3 0.023804
3 0.023809
3 0.023813
4 0.023866
4 0.023868
4 0.023870
4 0.023873
4 0.023877
4 0.023880
4 0.023915
4 0.023917
4 0.023919
4 0.023921
4 0.023924
4 0.023926
4 0.023962
4 0.023962
4 0.023964
4 0.023968
4 0.023970
4 0.023976
4 0.024036
4 0.024411
4 0.024631
4 0.024720
5 0.024756
5 0.024771
5 0.024772
3 0.024832
3 0.024837
4 0.024838
3 0.024843
4 0.024844
4 0.024846
3 0.024848
4 0.024848
4 0.024854
4 0.024856
4 0.024865
4 0.025012
4 0.025057
4 0.025514
3 0.025795
4 0.025832
3 0.025850
6 0.025859
3 0.025919
4 0.025982
3 0.026009
4 0.026045
4 0.026052
3 0.026128
7 0.026129
7 0.026130
7 0.026133
7 0.026134
7 0.026146
7 0.026146
7 0.026147
7 0.026147
7 0.026151
7 0.026151
7 0.026151
7 0.026152
7 0.026153
3 0.026291
6 0.026389
3 0.026482
3 0.026485
3 0.026494
3 0.026497
3 0.026513
3 0.026513
3 0.026517
3 0.026517
3 0.026517
3 0.026517
3 0.026517
3 0.026521
3 0.026521
3 0.026521
3 0.026523
3 0.026523
3 0.026527
3 0.026527
3 0.026527
5 0.026620
5 0.026638
3 0.026681
3 0.026685
3 0.026693
3 0.026697
3 0.026821
3 0.026826
3 0.026831
3 0.026860
3 0.026860
3 0.026864
3 0.026864
3 0.026864
3 0.026865
3 0.026865
3 0.026870
3 0.026870
3 0.026870
3 0.026870
3 0.026870
3 0.026876
3 0.026876
3 0.026876
4 0.027099
3 0.027252
3 0.027265
3 0.027265
6 0.027282
4 0.027314
3 0.027421
3 0.027423
3 0.027426
3 0.027427
3 0.027427
3 0.027428
3 0.027431
3 0.027431
3 0.027431
3 0.027431
3 0.027434
3 0.027437
3 0.027437
3 0.027437
3 0.027437
4 0.027535
3 0.027582
3 0.027582
3 0.027583
3 0.027585
3 0.027587
3 0.027588
3 0.027590
3 0.027593
3 0.027619
3 0.027633
3 0.027633
4 0.027674
6 0.027873
3 0.028206
3 0.028220
3 0.028220
4 0.028342
4 0.028347
4 0.028347
4 0.028357
4 0.028358
4 0.028358
4 0.028360
3 0.028385
3 0.028388
3 0.028390
3 0.028393
3 0.028397
3 0.028400
3 0.028404
4 0.028556
3 0.028586
3 0.028600
4 0.028948
3 0.029086
3 0.029091
3 0.029093
3 0.029096
3 0.029097
3 0.029102
3 0.029103
3 0.029244
3 0.029259
3 0.029259
4 0.029642
6 0.029648
4 0.029760
4 0.029763
4 0.029766
4 0.029770
4 0.029777
4 0.029782
3 0.029966
3 0.029982
4 0.030032
4 0.030301
4 0.030305
4 0.030308
4 0.030312
4 0.030316
4 0.030320
4 0.030328
6 0.030347
3 0.030382
3 0.030385
3 0.030388
3 0.030391
3 0.030396
3 0.030398
3 0.030404
4 0.030473
4 0.030479
4 0.030480
4 0.030481
4 0.030492
4 0.030493
3 0.030576
3 0.030592
3 0.031155
3 0.031163
3 0.031172
4 0.031432
3 0.031471
3 0.031485
3 0.031488
4 0.031506
4 0.031760
3 0.031781
3 0.031781
3 0.031781
3 0.031782
3 0.032108
3 0.032114
3 0.032116
3 0.032120
3 0.032120
3 0.032127
3 0.032129
4 0.032250
4 0.032257
4 0.032272
4 0.032318
3 0.032326
3 0.032343
3 0.032349
3 0.032361
3 0.032367
5 0.032702
5 0.032702
3 0.033213
3 0.033233
5 0.033413
5 0.033413
4 0.033505
3 0.033834
3 0.033835
3 0.033835
3 0.033836
3 0.033881
3 0.033894
3 0.034020
5 0.034461
5 0.034461
6 0.034472
4 0.034491
4 0.034502
4 0.034506
4 0.034511
4 0.034520
4 0.034526
5 0.035176
5 0.035183
5 0.035186
4 0.035193
3 0.035198
3 0.035198
3 0.035199
3 0.035199
5 0.035259
5 0.035268
4 0.035306
6 0.035421
3 0.035828
3 0.035833
3 0.035836
3 0.035840
3 0.035847
3 0.035851
3 0.035858
6 0.035935
5 0.035992
5 0.035998
5 0.036001
5 0.036034
5 0.036034
5 0.036037
5 0.036113
5 0.036116
5 0.036117
5 0.036123
6 0.036149
3 0.036282
3 0.036284
3 0.036288
3 0.036290
3 0.036292
3 0.036294
3 0.036298
3 0.036301
4 0.036811
5 0.036899
5 0.036899
5 0.036902
3 0.037064
3 0.037079
3 0.037079
5 0.037191
5 0.037201
5 0.037202
5 0.037385
5 0.037395
3 0.037420
3 0.037443
3 0.037444
5 0.038182
5 0.038182
5 0.038185
7 0.038212
7 0.038214
7 0.038227
7 0.038230
7 0.038244
7 0.038244
7 0.038250
7 0.038250
7 0.038254
7 0.038257
7 0.038262
7 0.038265
7 0.038266
3 0.038271
3 0.038271
3 0.038272
4 0.038736
3 0.038748
5 0.039010
5 0.039011
5 0.039101
5 0.039112
5 0.039112
3 0.039381
3 0.039381
3 0.039382
5 0.039423
5 0.039435
3 0.039888
3 0.039904
3 0.039906
5 0.040225
5 0.040225
5 0.040228
3 0.041368
3 0.041379
3 0.041380
3 0.041871
3 0.041890
3 0.041891
4 0.042077
5 0.042460
5 0.042474
5 0.042474
3 0.042818
3 0.042820
3 0.042824
3 0.042825
5 0.043071
5 0.043085
3 0.043391
4 0.043393
4 0.043400
3 0.043402
3 0.043407
4 0.043407
4 0.043410
3 0.043413
3 0.043414
4 0.043423
3 0.043425
3 0.043428
4 0.043430
2 0.043727
2 0.043729
2 0.043733
2 0.043736
2 0.043744
2 0.043752
5 0.043846
5 0.043848
5 0.043851
3 0.044956
3 0.044957
5 0.045006
5 0.045010
3 0.045187
3 0.045223
3 0.045607
3 0.045607
3 0.045609
4 0.046022
4 0.046027
4 0.046039
3 0.046061
3 0.046064
3 0.046079
4 0.046374
3 0.046743
3 0.046765
3 0.046779
3 0.047224
3 0.047240
2 0.047449
2 0.047455
2 0.047460
2 0.047471
2 0.047479
2 0.047489
2 0.047565
2 0.047570
2 0.047576
2 0.047580
2 0.047588
2 0.047594
4 0.047691
2 0.048585
2 0.048738
5 0.049518
5 0.049536
5 0.049537
4 0.049770
6 0.049798
4 0.049811
4 0.049832
3 0.050092
3 0.050096
3 0.050116
2 0.050599
2 0.050605
2 0.050615
3 0.050791
3 0.050809
3 0.050819
3 0.050837
2 0.050848
2 0.050867
2 0.050870
2 0.050879
2 0.050893
2 0.050901
3 0.050958
3 0.050960
3 0.050989
5 0.050989
5 0.051009
2 0.051076
2 0.051385
5 0.051570
