Symbol: Yb
Atomic Number: 70
Atomic Mass: 173.040000
Start Spectral Index: 4
1 99
2 327
3 272
4 92
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.082896
4 0.087035
4 0.090246
4 0.092701
4 0.093622
4 0.094304
4 0.094620
3 0.096846
3 0.097316
4 0.097521
3 0.099456
4 0.105024
4 0.105446
4 0.109251
4 0.110996
4 0.111055
4 0.113443
4 0.113624
4 0.116601
4 0.118558
4 0.129024
4 0.130558
4 0.131604
4 0.132632
4 0.132636
4 0.134006
4 0.134536
4 0.135026
4 0.135343
4 0.135615
4 0.136175
4 0.136588
4 0.136972
4 0.137542
4 0.137666
4 0.138441
4 0.139393
4 0.139877
4 0.140705
4 0.141314
4 0.141615
4 0.141772
4 0.142399
4 0.143029
4 0.144061
4 0.147792
4 0.149157
3 0.156066
3 0.156142
3 0.166960
3 0.167078
3 0.171982
3 0.173918
3 0.176280
4 0.176503
3 0.176521
3 0.177529
4 0.177618
4 0.177820
4 0.177934
3 0.177974
3 0.178131
4 0.178971
4 0.179106
3 0.179370
3 0.179885
4 0.180167
4 0.180963
3 0.181088
4 0.181384
4 0.181607
4 0.181758
4 0.181902
4 0.182422
3 0.182641
3 0.182677
3 0.183801
3 0.184730
3 0.184924
3 0.184942
3 0.185236
3 0.185294
3 0.185480
3 0.185716
3 0.186332
3 0.186485
3 0.186723
3 0.186763
3 0.186819
3 0.186892
3 0.187007
3 0.187083
3 0.187115
3 0.187203
3 0.187391
3 0.187541
3 0.187592
3 0.188030
3 0.188422
3 0.188507
3 0.188722
3 0.189034
3 0.189087
3 0.189242
3 0.189550
3 0.189618
3 0.189757
3 0.189825
3 0.190674
3 0.190850
3 0.190966
3 0.191086
3 0.192053
3 0.192676
3 0.192809
3 0.193063
3 0.194259
3 0.195034
3 0.196280
3 0.196713
3 0.196947
3 0.196973
3 0.197396
3 0.197418
3 0.197646
3 0.198174
3 0.198388
3 0.198462
3 0.198574
3 0.198643
3 0.198982
3 0.199114
3 0.199505
3 0.199728
3 0.199766
3 0.199882
3 0.205546
3 0.206715
3 0.207430
3 0.207871
3 0.208803
3 0.208864
3 0.209189
3 0.209293
3 0.209544
3 0.209598
3 0.209746
3 0.209903
4 0.210715
3 0.210738
3 0.211021
4 0.211732
2 0.211734
3 0.211985
4 0.212196
4 0.212351
4 0.212399
4 0.212639
2 0.212741
4 0.213032
4 0.213588
4 0.213825
4 0.213902
4 0.213920
4 0.214066
4 0.214171
4 0.214288
4 0.214410
4 0.214457
4 0.214545
4 0.214878
4 0.214920
4 0.215486
2 0.216228
4 0.216623
4 0.216980
4 0.217284
4 0.217821
4 0.218400
2 0.218639
4 0.218681
4 0.218785
4 0.219058
4 0.219403
3 0.219883
4 0.219896
3 0.220296
2 0.222515
4 0.222533
4 0.223197
4 0.223399
3 0.224081
4 0.224490
3 0.224498
3 0.225773
3 0.226296
3 0.226637
3 0.228369
3 0.228469
3 0.230603
3 0.230998
3 0.231520
2 0.232152
4 0.233208
3 0.233869
3 0.236180
2 0.236361
3 0.236615
3 0.236818
3 0.237071
3 0.237795
2 0.239147
2 0.239875
3 0.240468
3 0.241077
3 0.241306
2 0.242209
3 0.242992
3 0.243417
3 0.243901
3 0.244005
3 0.244117
2 0.244800
3 0.245938
2 0.246099
1 0.246525
3 0.246534
2 0.248564
3 0.249117
3 0.249244
2 0.250277
2 0.250623
3 0.250701
2 0.250883
2 0.251282
2 0.251711
3 0.251758
3 0.252283
2 0.252320
3 0.252990
2 0.253841
2 0.253943
2 0.255083
3 0.255116
2 0.255292
2 0.255347
3 0.255606
3 0.256133
3 0.256243
2 0.256634
3 0.256755
3 0.256838
2 0.257213
2 0.257392
3 0.258034
3 0.258939
3 0.259347
2 0.259694
2 0.259710
3 0.259801
3 0.259992
3 0.260992
2 0.261604
2 0.261779
3 0.262189
3 0.262785
2 0.263510
3 0.263616
3 0.263885
2 0.264024
3 0.264127
2 0.264268
3 0.264335
3 0.264441
2 0.264510
2 0.264723
2 0.264825
2 0.264959
2 0.265058
2 0.265152
3 0.265253
3 0.265304
2 0.265454
2 0.265691
2 0.266006
3 0.266077
3 0.266568
2 0.266583
3 0.266692
3 0.266778
2 0.266954
1 0.267275
2 0.267345
3 0.267412
3 0.267819
2 0.268120
2 0.268422
2 0.268555
2 0.268878
3 0.269181
2 0.269623
2 0.269742
2 0.270160
3 0.270884
2 0.270964
2 0.271134
2 0.271258
3 0.271312
2 0.271346
2 0.271916
2 0.272301
2 0.273355
2 0.273490
2 0.274252
2 0.274839
2 0.274885
2 0.274947
3 0.275072
2 0.275129
2 0.275226
3 0.275675
3 0.275757
2 0.275982
2 0.276160
2 0.276219
2 0.276523
3 0.276632
2 0.277214
2 0.277710
2 0.278548
2 0.278878
3 0.278906
2 0.279410
2 0.279526
2 0.279589
2 0.279611
3 0.279642
2 0.279862
2 0.279903
2 0.280021
2 0.280083
2 0.280089
3 0.280415
3 0.280426
3 0.280805
3 0.280934
2 0.281155
2 0.281536
2 0.281715
3 0.281775
3 0.281955
2 0.282198
2 0.282580
3 0.282684
2 0.283182
2 0.283303
2 0.283580
2 0.284343
3 0.284380
2 0.284802
2 0.284928
2 0.285018
2 0.285197
2 0.285270
2 0.285425
2 0.285452
2 0.285498
2 0.285533
2 0.285917
2 0.285930
2 0.286023
2 0.286064
2 0.286123
2 0.286205
2 0.286218
2 0.286790
2 0.287090
1 0.287433
3 0.287670
2 0.288682
2 0.288711
2 0.288889
2 0.289223
2 0.289447
2 0.289775
3 0.289915
2 0.290055
2 0.290326
2 0.290377
3 0.290716
2 0.290773
2 0.290918
2 0.291004
2 0.291033
2 0.291237
2 0.291371
2 0.291506
2 0.291613
2 0.291728
2 0.292020
2 0.292198
2 0.292510
2 0.292871
3 0.292983
1 0.293522
2 0.293597
2 0.293805
2 0.294039
2 0.294138
2 0.294290
2 0.294677
2 0.294716
2 0.294762
2 0.295119
2 0.295618
2 0.295849
2 0.296339
2 0.296413
2 0.296433
2 0.296563
2 0.297143
3 0.297871
2 0.298336
2 0.298353
2 0.298457
2 0.298486
2 0.298595
2 0.298675
2 0.299124
2 0.299274
2 0.299481
2 0.299567
2 0.299673
3 0.299887
2 0.300133
2 0.300349
2 0.300665
2 0.301027
2 0.301150
2 0.301531
2 0.301844
2 0.302755
3 0.303037
2 0.303199
3 0.303250
2 0.303552
2 0.303887
2 0.304055
3 0.304153
2 0.304354
2 0.304489
2 0.304737
2 0.304794
2 0.306401
2 0.306456
2 0.306593
2 0.307690
2 0.309000
3 0.309340
2 0.309477
1 0.310164
2 0.310226
2 0.310297
3 0.310308
2 0.310866
2 0.310880
2 0.311624
2 0.311760
2 0.311871
3 0.312692
2 0.313767
3 0.313949
2 0.314185
2 0.314264
2 0.314597
2 0.314645
3 0.315235
2 0.315409
2 0.315479
2 0.315609
1 0.316321
2 0.316472
2 0.316613
2 0.316998
3 0.318026
2 0.318184
3 0.319227
2 0.319380
2 0.319957
2 0.320209
3 0.321720
2 0.321811
2 0.321925
2 0.322681
3 0.322951
2 0.324013
1 0.324051
2 0.324700
2 0.326245
2 0.329032
1 0.330620
2 0.330668
2 0.331605
1 0.332037
3 0.332647
2 0.333402
2 0.333813
2 0.334389
2 0.334403
2 0.334850
2 0.335205
2 0.335345
3 0.335922
2 0.336341
2 0.336461
3 0.336527
2 0.337645
2 0.337759
3 0.338498
1 0.338847
2 0.339122
2 0.339139
2 0.339207
3 0.339353
2 0.339541
3 0.339864
2 0.340199
2 0.340508
1 0.341343
1 0.341937
1 0.342702
2 0.342944
1 0.343209
3 0.343392
2 0.343559
2 0.343970
2 0.343984
2 0.344788
1 0.345339
2 0.345507
3 0.345717
2 0.345928
1 0.345938
1 0.346126
2 0.346333
3 0.346450
1 0.346536
3 0.347097
2 0.347730
2 0.347984
2 0.348356
2 0.348676
2 0.348943
2 0.349690
2 0.350883
1 0.351801
2 0.352130
2 0.354673
2 0.355083
3 0.355188
1 0.356005
2 0.356135
2 0.356172
2 0.356496
2 0.357159
2 0.357352
2 0.357560
2 0.358649
2 0.360751
2 0.361126
2 0.361233
3 0.361492
2 0.362083
2 0.363880
1 0.364919
1 0.365677
3 0.366088
3 0.366478
3 0.366578
2 0.367074
2 0.367174
2 0.367613
3 0.367683
2 0.369161
2 0.369524
2 0.369965
1 0.370163
2 0.371140
3 0.371297
2 0.372527
1 0.373575
1 0.377117
1 0.377539
1 0.379282
1 0.384100
1 0.387395
3 0.388108
3 0.388368
3 0.388827
3 0.389765
1 0.390196
2 0.390592
1 0.391238
3 0.391386
3 0.391434
3 0.393234
3 0.398669
1 0.398912
1 0.399201
3 0.399287
3 0.399880
1 0.400849
3 0.402928
3 0.403417
1 0.405342
3 0.407568
2 0.407843
1 0.409083
3 0.409182
3 0.409939
2 0.412041
3 0.412222
2 0.413626
1 0.415024
3 0.415121
3 0.415428
3 0.416389
3 0.417413
1 0.417574
2 0.418199
3 0.419552
3 0.419613
3 0.419992
3 0.421483
2 0.421975
1 0.421988
3 0.422202
3 0.423226
1 0.423316
1 0.427894
3 0.429085
3 0.430235
3 0.430522
1 0.430718
2 0.431816
3 0.435202
3 0.438130
1 0.439492
1 0.443145
1 0.444044
1 0.448368
2 0.451643
3 0.451885
2 0.455486
1 0.456523
1 0.457749
1 0.458364
1 0.459050
1 0.459212
2 0.459965
3 0.464044
2 0.468512
1 0.468558
2 0.472740
1 0.478321
2 0.478795
1 0.481778
2 0.482159
3 0.483628
2 0.483831
1 0.483881
2 0.485251
1 0.489597
1 0.491373
1 0.493688
2 0.493860
