Symbol: Lu
Atomic Number: 71
Atomic Mass: 174.967000
Start Spectral Index: 5
1 128
2 79
3 64
4 100
5 64
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.055544
5 0.056372
5 0.060154
5 0.061423
5 0.062879
5 0.063744
5 0.063753
5 0.066329
3 0.067734
3 0.069105
3 0.070025
3 0.071489
3 0.073876
3 0.075503
3 0.075516
3 0.081073
3 0.083053
3 0.083228
5 0.085006
5 0.086192
5 0.086693
5 0.087084
5 0.087589
5 0.087645
4 0.087680
5 0.088032
5 0.088421
5 0.088616
5 0.088632
5 0.088644
5 0.089181
5 0.089501
5 0.089515
5 0.089842
4 0.090206
5 0.091472
5 0.091826
5 0.092092
5 0.092132
5 0.092190
5 0.092273
5 0.092579
5 0.092722
5 0.094780
3 0.097266
3 0.099126
3 0.099644
3 0.100118
4 0.101518
3 0.102240
3 0.102983
3 0.103033
3 0.103154
3 0.105653
3 0.106199
3 0.109284
4 0.113617
3 0.118734
4 0.118927
4 0.119459
4 0.121308
4 0.122074
4 0.122375
3 0.122870
4 0.124007
4 0.124810
4 0.126627
4 0.127242
4 0.127302
4 0.127477
4 0.127654
3 0.127753
3 0.128341
4 0.128938
4 0.131008
4 0.132302
4 0.133104
3 0.133193
4 0.133379
4 0.133494
4 0.133820
4 0.133949
4 0.134258
4 0.135168
4 0.135374
4 0.135585
4 0.135967
4 0.136324
4 0.136337
4 0.136734
4 0.137354
4 0.137536
4 0.137602
4 0.137956
4 0.138318
4 0.138985
4 0.139007
4 0.139030
4 0.139069
4 0.139238
4 0.139718
4 0.140132
4 0.140146
4 0.140664
4 0.140700
4 0.140704
5 0.142002
4 0.142032
4 0.142159
4 0.142908
4 0.142938
4 0.143080
5 0.143250
5 0.143277
4 0.144062
5 0.144176
5 0.144364
4 0.144814
5 0.144814
5 0.144932
5 0.145036
5 0.145069
4 0.145233
5 0.145264
5 0.145335
5 0.145438
5 0.145521
5 0.146011
4 0.146265
5 0.146781
5 0.146899
5 0.146945
5 0.147120
5 0.147212
5 0.147371
5 0.147577
4 0.148379
5 0.148558
4 0.149324
4 0.151126
4 0.152106
4 0.152221
4 0.153777
4 0.154935
4 0.155159
4 0.156206
4 0.159255
4 0.159492
4 0.160772
4 0.163165
4 0.168450
4 0.169367
5 0.170902
4 0.172142
4 0.172514
5 0.172890
4 0.173579
4 0.173678
4 0.174174
4 0.174384
4 0.175260
4 0.175961
4 0.177208
4 0.177257
5 0.177592
5 0.177768
4 0.178245
5 0.178471
5 0.178625
5 0.178758
5 0.179385
4 0.179752
5 0.180973
5 0.181424
3 0.185457
4 0.190163
4 0.198392
4 0.199052
4 0.199618
4 0.200383
4 0.202159
3 0.205138
3 0.206601
3 0.207122
4 0.207176
4 0.208175
3 0.208400
4 0.208636
4 0.208713
4 0.209283
3 0.210011
4 0.210430
4 0.210508
4 0.210852
4 0.210898
4 0.212810
2 0.219623
3 0.223683
3 0.223691
2 0.227764
2 0.229812
3 0.238232
2 0.239292
2 0.239987
2 0.241995
2 0.243100
2 0.246038
2 0.247002
2 0.248247
2 0.253771
2 0.254763
1 0.255021
1 0.255049
2 0.256257
3 0.256428
2 0.257200
2 0.257956
2 0.258290
3 0.260413
2 0.261418
2 0.261620
2 0.262004
2 0.265859
1 0.267805
1 0.268588
1 0.268634
2 0.270251
1 0.271671
1 0.271990
3 0.272246
1 0.272976
2 0.273898
2 0.275498
1 0.276656
3 0.277337
3 0.278198
3 0.278919
2 0.279745
3 0.280173
2 0.282206
2 0.283518
1 0.284597
2 0.284835
1 0.288599
2 0.289569
2 0.290115
1 0.290390
2 0.291224
1 0.295059
2 0.295255
2 0.295664
2 0.296419
2 0.297069
1 0.299014
3 0.299408
2 0.302142
2 0.302817
2 0.305761
3 0.305875
2 0.307849
1 0.308100
