Symbol: Hf
Atomic Number: 72
Atomic Mass: 178.490000
Start Spectral Index: 5
1 330
2 218
3 37
4 27
5 82
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.052004
5 0.054541
4 0.056919
4 0.059656
5 0.060000
4 0.060090
4 0.060316
4 0.061827
4 0.062019
4 0.063358
4 0.064305
4 0.064454
4 0.064739
4 0.066565
4 0.067136
4 0.067349
5 0.081681
5 0.083069
5 0.083674
5 0.084687
5 0.085632
5 0.086180
5 0.086516
5 0.086725
5 0.087588
5 0.087787
5 0.088037
5 0.088085
5 0.088558
5 0.088580
5 0.089424
5 0.089441
5 0.089614
5 0.089647
5 0.089970
5 0.090154
5 0.090192
5 0.090495
5 0.090970
5 0.091368
5 0.091848
5 0.091910
5 0.092167
5 0.092801
5 0.093150
5 0.094712
5 0.095162
5 0.096012
5 0.096474
5 0.097151
5 0.097462
5 0.098464
5 0.099150
5 0.107842
5 0.107992
5 0.109276
5 0.109728
5 0.113749
5 0.120176
5 0.120888
5 0.122462
5 0.122798
5 0.123021
5 0.123203
5 0.123359
5 0.123742
5 0.123885
5 0.123953
5 0.124446
5 0.125925
4 0.130524
4 0.135740
4 0.139039
5 0.139666
5 0.140009
5 0.140170
5 0.140577
5 0.140717
5 0.140838
5 0.141228
5 0.141351
5 0.142196
5 0.142253
5 0.143343
5 0.143727
5 0.143773
5 0.144540
3 0.144983
5 0.145791
4 0.149167
3 0.150782
4 0.152882
4 0.156018
4 0.157203
3 0.168395
4 0.171721
4 0.171857
5 0.171932
5 0.172908
5 0.173183
5 0.173396
5 0.174174
5 0.174911
5 0.175019
3 0.175691
5 0.176089
5 0.176562
5 0.177402
5 0.179239
3 0.184364
3 0.187058
3 0.187481
3 0.188515
3 0.199144
2 0.201343
4 0.201471
2 0.202883
3 0.203841
4 0.205512
3 0.207160
3 0.208599
2 0.209685
3 0.209997
3 0.211098
3 0.212036
3 0.215634
3 0.218418
3 0.219613
2 0.221151
3 0.221423
3 0.223528
2 0.225471
2 0.225585
2 0.226753
2 0.227786
3 0.231415
2 0.232185
2 0.232318
2 0.232396
2 0.232521
2 0.232560
2 0.233369
3 0.233719
2 0.233805
2 0.234404
2 0.234816
2 0.235194
1 0.235374
3 0.235620
2 0.236670
3 0.237402
3 0.237830
2 0.238103
2 0.238173
3 0.238427
2 0.239391
2 0.239409
2 0.239456
2 0.240151
2 0.240529
2 0.240615
