Symbol: Ta
Atomic Number: 73
Atomic Mass: 180.948000
Start Spectral Index: 5
1 508
2 139
4 83
5 12
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.047829
5 0.049307
4 0.076314
5 0.084131
5 0.089087
4 0.093441
5 0.094730
5 0.099029
4 0.099934
4 0.106353
5 0.106664
4 0.106717
4 0.107447
4 0.108639
4 0.109460
4 0.110013
4 0.111610
4 0.111883
4 0.113617
4 0.113826
5 0.114049
4 0.114972
4 0.115042
4 0.115192
4 0.117251
4 0.117551
4 0.118928
4 0.119252
4 0.119267
4 0.121194
4 0.121268
4 0.121309
5 0.121342
4 0.121466
4 0.121553
4 0.122073
4 0.122096
4 0.122373
4 0.123812
4 0.124006
5 0.124298
4 0.125834
4 0.126491
4 0.127242
4 0.127548
4 0.127594
4 0.130851
4 0.131135
4 0.131558
4 0.132519
4 0.133238
4 0.134330
4 0.135046
4 0.136588
4 0.137662
4 0.138880
5 0.139256
4 0.139878
4 0.141340
4 0.143011
4 0.144154
4 0.145432
4 0.146441
4 0.146982
4 0.149525
4 0.151419
4 0.152569
4 0.156597
4 0.158464
4 0.159491
4 0.160770
4 0.163165
4 0.163982
4 0.166876
4 0.167645
5 0.170910
4 0.171216
4 0.171613
4 0.175390
4 0.175904
4 0.176303
4 0.186592
4 0.190163
4 0.190766
4 0.192475
4 0.194025
4 0.198568
4 0.198944
4 0.205641
4 0.207967
4 0.211220
2 0.214080
2 0.214755
2 0.215130
2 0.216569
2 0.217871
2 0.218339
2 0.219389
2 0.219457
2 0.219672
4 0.220027
2 0.220036
2 0.220783
4 0.220833
2 0.221072
2 0.221088
2 0.221629
2 0.224018
2 0.224918
2 0.225049
2 0.225146
2 0.225556
2 0.225647
2 0.225721
2 0.225941
2 0.226212
2 0.226232
2 0.226300
2 0.227026
2 0.227255
2 0.227329
1 0.228055
2 0.228289
2 0.228573
2 0.228596
2 0.228730
2 0.228798
2 0.228987
2 0.229325
2 0.230218
2 0.230295
2 0.230364
2 0.230420
2 0.230917
2 0.231331
2 0.231617
2 0.231987
2 0.233201
2 0.233270
2 0.233291
2 0.233485
2 0.233560
2 0.233647
2 0.233900
2 0.234166
2 0.234233
2 0.234436
2 0.234714
2 0.235271
2 0.235458
2 0.235594
2 0.235677
2 0.235762
1 0.235802
2 0.235988
1 0.236181
2 0.236350
2 0.236404
2 0.236496
2 0.236796
2 0.237004
2 0.237148
1 0.237230
2 0.237466
1 0.237664
2 0.237904
2 0.238186
2 0.238225
2 0.238445
2 0.238501
1 0.238646
2 0.238779
2 0.238910
2 0.238984
1 0.239703
1 0.239988
2 0.240065
2 0.240136
2 0.240286
2 0.240441
1 0.240728
2 0.240899
1 0.241505
2 0.241594
2 0.241762
2 0.241859
2 0.241950
1 0.242177
2 0.242259
2 0.242422
2 0.242665
1 0.242838
2 0.243045
2 0.243180
2 0.243344
2 0.243433
2 0.243725
1 0.243781
2 0.243938
1 0.244065
1 0.244313
2 0.244487
1 0.244791
1 0.245522
1 0.245942
1 0.246129
2 0.246457
2 0.246774
2 0.246812
2 0.247165
1 0.247213
1 0.247288
1 0.247388
2 0.247406
1 0.247537
1 0.247608
2 0.247742
1 0.247897
2 0.248261
1 0.248285
2 0.248333
2 0.248479
1 0.248570
1 0.248745
2 0.248945
1 0.249121
1 0.250520
1 0.250821
1 0.251341
1 0.252711
2 0.253288
2 0.254625
1 0.254756
1 0.255184
2 0.255539
1 0.255582
1 0.256020
1 0.256287
2 0.257228
1 0.257431
1 0.257456
2 0.257814
1 0.257855
1 0.258093
2 0.258480
1 0.259386
2 0.259444
2 0.259503
1 0.259604
2 0.259723
1 0.260092
2 0.260427
1 0.260941
1 0.260978
1 0.261212
1 0.261624
1 0.261644
2 0.263637
1 0.263746
1 0.263769
1 0.264701
1 0.264716
1 0.264826
2 0.265201
1 0.265406
1 0.265740
1 0.266213
2 0.266639
1 0.266886
1 0.266941
2 0.267670
2 0.268086
2 0.268146
1 0.268508
2 0.268597
1 0.269211
1 0.269320
2 0.269532
1 0.269761
4 0.269822
1 0.269910
1 0.270749
2 0.271007
1 0.271093
1 0.271547
1 0.271799
1 0.272157
2 0.272825
1 0.272859
2 0.273706
2 0.274007
1 0.274440
1 0.274749
1 0.274959
1 0.275064
2 0.275330
1 0.275913
2 0.276250
1 0.277670
1 0.278851
1 0.279716
2 0.279858
1 0.280290
1 0.280713
1 0.280741
2 0.281793
1 0.284366
1 0.284509
2 0.284530
1 0.284619
1 0.284936
1 0.285133
1 0.285182
2 0.285928
1 0.286282
1 0.286949
1 0.287226
1 0.287420
1 0.287440
1 0.287501
1 0.288086
1 0.289269
1 0.289989
1 0.290290
1 0.291497
1 0.291634
1 0.292605
1 0.293356
1 0.293441
1 0.294092
1 0.294108
1 0.294300
1 0.295278
1 0.295442
1 0.296419
2 0.296600
1 0.296641
1 0.297034
1 0.297643
1 0.301276
2 0.301342
1 0.302836
2 0.304295
1 0.305045
1 0.307013
4 0.307695
1 0.307813
1 0.310415
1 0.312588
1 0.312880
1 0.313149
1 0.313355
1 0.316920
1 0.317121
1 0.317451
1 0.317721
1 0.318187
1 0.318547
1 0.319959
1 0.320640
2 0.321484
1 0.322476
1 0.323017
1 0.324299
1 0.324377
1 0.326110
2 0.327589
1 0.331211
1 0.331888
1 0.331980
2 0.333195
1 0.333880
1 0.335944
1 0.337251
1 0.338490
1 0.338602
1 0.339931
1 0.340792
1 0.342070
1 0.346476
1 0.348152
1 0.348560
1 0.348980
1 0.349885
1 0.350487
1 0.350600
1 0.351204
1 0.351461
1 0.355440
1 0.360844
1 0.362620
1 0.362765
1 0.364310
1 0.365850
1 0.368723
1 0.369078
1 0.373208
1 0.373782
1 0.374742
1 0.375559
1 0.377817
1 0.378540
1 0.379310
1 0.382800
2 0.383483
1 0.383770
1 0.384914
1 0.385970
1 0.388630
1 0.391962
1 0.392389
1 0.392403
1 0.397122
1 0.399730
1 0.400041
1 0.400480
1 0.400797
1 0.402808
1 0.403108
1 0.403180
1 0.404201
1 0.406255
1 0.406578
1 0.406839
1 0.406906
1 0.409840
1 0.410618
1 0.413054
1 0.413737
1 0.414906
1 0.417639
1 0.417910
1 0.418233
1 0.420706
1 0.420759
1 0.424655
1 0.426946
1 0.430419
1 0.435636
1 0.438005
1 0.438730
1 0.439969
1 0.440374
1 0.441698
1 0.444220
1 0.444290
1 0.447480
1 0.451225
1 0.451280
1 0.451550
1 0.452240
1 0.453212
1 0.454850
1 0.455323
1 0.455500
1 0.456713
1 0.457559
1 0.458200
1 0.462080
1 0.463440
1 0.467045
1 0.468319
1 0.468620
1 0.468660
1 0.469321
1 0.470740
1 0.474149
1 0.475784
1 0.475930
1 0.477031
1 0.478220
1 0.481410
1 0.482670
1 0.483360
1 0.485360
1 0.488540
1 0.490600
1 0.492148
1 0.492230
1 0.492264
1 0.492738
1 0.493780
1 0.497110
1 0.501390
1 0.503877
1 0.504470
1 0.506928
1 0.507130
1 0.508370
1 0.508880
1 0.509210
1 0.509670
1 0.511727
1 0.513790
1 0.514305
1 0.514512
1 0.514900
1 0.515800
1 0.516320
1 0.521419
1 0.521990
1 0.522011
1 0.523690
1 0.529650
1 0.533760
1 0.534254
1 0.535110
1 0.535620
1 0.539750
1 0.540401
1 0.542070
1 0.543680
1 0.550090
1 0.550221
1 0.550719
1 0.551780
1 0.552044
1 0.552268
1 0.552551
1 0.552990
1 0.554674
1 0.554986
1 0.558557
1 0.560030
1 0.560107
1 0.560706
1 0.561927
1 0.562224
1 0.562976
1 0.563727
1 0.564175
1 0.564748
1 0.566647
1 0.568983
1 0.570082
1 0.570589
1 0.570786
1 0.571683
1 0.571812
1 0.574830
1 0.575741
1 0.576321
1 0.576816
1 0.576951
1 0.577353
1 0.577837
1 0.578162
1 0.578231
1 0.581271
1 0.581812
1 0.584556
1 0.585130
1 0.586824
1 0.587899
1 0.588393
1 0.590355
1 0.591815
1 0.592059
1 0.592754
1 0.593226
1 0.593269
1 0.593332
1 0.593718
1 0.594141
1 0.594567
1 0.595343
1 0.596178
1 0.599889
1 0.601155
1 0.601757
1 0.602239
1 0.604706
1 0.604892
1 0.605538
1 0.609251
1 0.609375
1 0.610327
1 0.614177
1 0.614626
1 0.615424
1 0.615620
1 0.616054
1 0.617217
1 0.619137
1 0.619482
1 0.621009
1 0.625152
1 0.625841
1 0.626040
1 0.627043
1 0.628008
1 0.628307
1 0.628910
1 0.628965
1 0.629108
1 0.631080
1 0.631132
1 0.631397
1 0.632683
1 0.633466
1 0.634292
1 0.634777
1 0.635792
1 0.636260
1 0.637482
1 0.638083
1 0.639122
1 0.639398
1 0.643038
1 0.643257
1 0.643914
1 0.644639
1 0.644765
1 0.645214
1 0.645761
1 0.646171
1 0.648716
1 0.650423
1 0.650732
1 0.651619
1 0.651790
1 0.656341
1 0.656607
1 0.657666
1 0.658695
1 0.658898
1 0.661378
1 0.662313
1 0.666408
1 0.667557
1 0.667737
1 0.668585
1 0.669546
1 0.670831
1 0.671124
1 0.671629
1 0.672547
1 0.674259
1 0.675677
1 0.675771
1 0.677224
1 0.677361
1 0.677612
1 0.679086
1 0.679193
1 0.680115
1 0.681234
1 0.681513
1 0.682124
1 0.682684
1 0.683389
1 0.685272
1 0.686702
1 0.686812
1 0.687717
1 0.687939
1 0.689867
1 0.690245
1 0.690400
1 0.692929
1 0.693045
1 0.694124
1 0.694879
1 0.695318
1 0.695580
1 0.696805
1 0.697141
1 0.697323
1 0.697345
1 0.698545
1 0.699715
1 0.699742
1 0.700214
1 0.700700
1 0.700889
1 0.702697
1 0.703345
1 0.704101
1 0.708325
1 0.708735
1 0.709498
1 0.711001
1 0.711948
1 0.712323
1 0.712768
1 0.715060
1 0.717488
1 0.717689
1 0.719333
1 0.723544
1 0.725227
1 0.726682
1 0.727429
1 0.727897
1 0.727955
1 0.728837
1 0.729833
1 0.730375
1 0.732186
1 0.732474
1 0.732797
1 0.734221
1 0.734843
1 0.735489
1 0.735899
1 0.737112
1 0.740993
1 0.743724
1 0.744222
1 0.746981
1 0.748807
1 0.752263
1 0.757131
1 0.759231
1 0.765173
1 0.772415
1 0.776525
1 0.778181
1 0.784492
1 0.788454
1 0.795238
1 0.795426
1 0.800095
1 0.802430
1 0.802871
1 0.803125
1 0.804129
1 0.805614
1 0.807120
1 0.810234
1 0.813100
1 0.816078
1 0.818299
1 0.825122
1 0.826712
1 0.828390
1 0.839137
1 0.841804
1 0.844994
1 0.855284
1 0.857828
1 0.859820
End Spectral Lines:
