Symbol: Au
Atomic Number: 79
Atomic Mass: 196.967000
Start Spectral Index: 3
1 191
2 111
3 150
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.077973
3 0.078878
3 0.079993
3 0.081183
3 0.081795
3 0.082006
3 0.083316
3 0.084344
3 0.084514
3 0.085549
3 0.085990
3 0.086342
3 0.090103
3 0.091045
3 0.092402
2 0.092572
3 0.094510
2 0.094603
2 0.095039
2 0.095778
2 0.096794
2 0.097447
2 0.098224
3 0.104063
3 0.104449
3 0.104681
2 0.106267
2 0.106696
2 0.108500
2 0.109078
2 0.109492
2 0.110331
2 0.116676
2 0.121086
2 0.122457
3 0.123996
3 0.127851
1 0.130534
1 0.131047
3 0.131484
1 0.132837
2 0.133626
3 0.133672
1 0.133837
3 0.134168
1 0.134280
3 0.134889
1 0.135009
3 0.135032
1 0.135084
1 0.135174
1 0.135282
1 0.135414
3 0.135561
1 0.135579
3 0.135613
1 0.135786
1 0.136051
3 0.136206
2 0.136233
1 0.136247
2 0.136315
1 0.136398
1 0.136415
2 0.136474
3 0.136540
3 0.136717
1 0.136862
1 0.136898
1 0.137482
1 0.137576
3 0.137773
3 0.137869
1 0.137887
3 0.137998
3 0.138053
2 0.138053
3 0.138136
1 0.138275
1 0.138533
3 0.138579
1 0.138914
3 0.138941
3 0.139146
1 0.139227
2 0.139380
3 0.139600
1 0.140212
3 0.140291
2 0.140512
1 0.140738
1 0.140845
3 0.140950
2 0.141069
3 0.141380
3 0.141427
2 0.141522
3 0.141554
3 0.141709
3 0.141739
3 0.142742
3 0.142893
1 0.142919
3 0.143006
3 0.143337
1 0.143579
3 0.143581
3 0.143612
2 0.143661
3 0.143912
3 0.144121
3 0.144637
3 0.144669
3 0.144842
3 0.145495
3 0.146472
2 0.146885
2 0.146917
2 0.146928
3 0.147128
3 0.147332
3 0.147473
3 0.148110
1 0.148176
2 0.148655
3 0.148715
3 0.148791
3 0.148947
3 0.150037
3 0.150247
3 0.150374
1 0.153282
1 0.153286
3 0.154026
3 0.154200
3 0.154225
3 0.154850
3 0.155461
2 0.156204
3 0.156233
3 0.156241
3 0.156754
3 0.157194
3 0.157485
3 0.157944
3 0.158410
1 0.158716
3 0.158956
3 0.158968
2 0.159341
3 0.159341
1 0.159824
3 0.160051
2 0.161111
2 0.161665
3 0.161716
3 0.161778
3 0.162193
2 0.162283
1 0.162434
3 0.162913
2 0.163253
3 0.163888
1 0.163990
3 0.164417
1 0.164667
3 0.165274
2 0.165699
3 0.166477
1 0.166576
3 0.166811
2 0.167359
3 0.167393
3 0.169394
2 0.169438
3 0.169709
2 0.169865
3 0.169898
1 0.169934
3 0.170000
2 0.170069
3 0.170225
3 0.170753
3 0.171016
3 0.171569
3 0.171671
3 0.171783
2 0.172004
2 0.172575
3 0.172731
3 0.173317
3 0.173848
2 0.174052
3 0.174439
3 0.174610
2 0.174980
2 0.175615
3 0.175692
3 0.176195
3 0.176742
3 0.177442
3 0.177517
3 0.177640
3 0.178057
2 0.178322
3 0.178611
3 0.179265
2 0.179331
3 0.179376
2 0.180058
3 0.180198
3 0.180524
3 0.180981
3 0.182117
2 0.182324
3 0.184489
3 0.184883
3 0.185015
3 0.186180
3 0.187192
1 0.187983
3 0.191828
1 0.191964
2 0.192164
3 0.193204
3 0.193542
1 0.194231
3 0.194879
1 0.195193
3 0.195847
1 0.197819
3 0.198963
3 0.199685
2 0.200146
1 0.201265
1 0.202203
2 0.204520
2 0.208275
3 0.208375
3 0.208611
2 0.209580
2 0.209881
2 0.211135
2 0.212596
1 0.212730
3 0.215976
3 0.216801
1 0.217143
3 0.217288
3 0.218479
2 0.218949
3 0.218965
2 0.220201
2 0.221632
2 0.222957
2 0.223187
2 0.224086
2 0.224926
2 0.226432
2 0.226458
2 0.227822
2 0.228400
2 0.229211
2 0.230540
2 0.231526
2 0.231646
3 0.232298
2 0.234078
1 0.235337
1 0.237701
3 0.238313
1 0.238848
3 0.240344
3 0.240585
1 0.242869
2 0.253428
1 0.254495
2 0.255344
1 0.259002
1 0.259081
2 0.261718
2 0.262780
1 0.264227
1 0.267675
2 0.268843
2 0.268896
1 0.268951
1 0.270169
1 0.274906
2 0.274952
1 0.278164
1 0.280176
2 0.280287
2 0.282062
2 0.282338
2 0.282396
2 0.282627
2 0.283386
2 0.283868
2 0.284776
2 0.285758
1 0.287320
1 0.288430
1 0.288781
1 0.288925
1 0.289281
2 0.289410
1 0.290659
1 0.290675
2 0.290789
2 0.291437
1 0.291567
2 0.291909
1 0.294153
2 0.295508
1 0.297420
2 0.299114
2 0.299567
1 0.300353
1 0.300673
1 0.302555
1 0.303008
1 0.303413
1 0.306631
1 0.310353
1 0.311791
2 0.312341
1 0.312369
2 0.312777
1 0.312794
1 0.316580
2 0.317327
1 0.319268
1 0.319564
1 0.320129
1 0.320567
1 0.322279
1 0.322618
3 0.322892
1 0.323156
1 0.325488
1 0.326604
1 0.326801
1 0.327257
1 0.327441
1 0.330925
1 0.331059
3 0.331081
1 0.332108
1 0.335611
1 0.336941
1 0.338287
1 0.339228
1 0.339637
1 0.344135
1 0.346820
1 0.347260
1 0.351004
1 0.351182
2 0.352435
1 0.354662
1 0.355459
1 0.355838
1 0.355924
