Symbol: O
Atomic Number: 8
Atomic Mass: 15.999400
Start Spectral Index: 8
1 910
2 1630
3 1005
4 1523
5 391
6 126
7 188
8 137
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
8 0.001463
8 0.001463
8 0.001482
8 0.001482
8 0.001518
8 0.001518
8 0.001601
8 0.001601
7 0.001781
7 0.001863
7 0.001864
7 0.001873
8 0.001897
8 0.001897
7 0.002160
7 0.002180
7 0.002210
8 0.006400
8 0.006400
8 0.006400
8 0.006401
8 0.006406
8 0.006406
8 0.006406
8 0.006772
8 0.006773
8 0.006773
8 0.006773
8 0.006779
8 0.006779
8 0.006780
8 0.007584
8 0.007584
8 0.007585
8 0.007586
8 0.007592
8 0.007593
8 0.007594
7 0.007886
7 0.007887
7 0.007887
7 0.007890
7 0.007890
7 0.007890
7 0.008147
7 0.008147
7 0.008147
7 0.008151
7 0.008151
7 0.008151
7 0.008159
7 0.008443
7 0.008607
7 0.008608
7 0.008608
7 0.008610
7 0.008612
7 0.008612
7 0.008620
7 0.008936
7 0.009612
7 0.009612
7 0.009613
7 0.009613
7 0.009618
7 0.009618
7 0.009618
7 0.009702
7 0.009703
7 0.009708
7 0.010024
7 0.010025
8 0.010235
8 0.010236
8 0.010239
8 0.010240
8 0.010249
8 0.010251
8 0.010255
6 0.010321
6 0.010326
6 0.010326
6 0.010461
6 0.010467
6 0.010467
6 0.010480
6 0.010486
6 0.010673
6 0.010679
6 0.010679
6 0.010702
6 0.010708
6 0.011016
6 0.011022
6 0.011022
6 0.011066
6 0.011072
5 0.011436
6 0.011582
6 0.011583
5 0.011616
6 0.011635
6 0.011642
6 0.011642
6 0.011733
6 0.011740
5 0.011800
5 0.011910
5 0.012209
5 0.012209
5 0.012211
5 0.012213
5 0.012213
5 0.012215
5 0.012462
5 0.012607
5 0.012609
5 0.012609
5 0.012613
5 0.012614
5 0.012614
7 0.012818
5 0.012823
5 0.012825
5 0.012826
5 0.012830
5 0.012830
5 0.012830
7 0.012841
7 0.012841
7 0.012842
7 0.012850
7 0.012850
7 0.012851
7 0.012869
5 0.012882
6 0.012978
6 0.012987
6 0.012988
5 0.013174
5 0.013176
5 0.013176
5 0.013181
5 0.013181
5 0.013181
6 0.013222
6 0.013231
7 0.013277
7 0.013278
5 0.013279
5 0.013280
5 0.013282
5 0.013284
5 0.013284
7 0.013287
5 0.013287
5 0.013331
5 0.013334
5 0.013339
5 0.013352
5 0.013352
5 0.013353
5 0.013355
5 0.013357
5 0.013360
5 0.013517
5 0.013552
7 0.013582
7 0.013751
5 0.013803
5 0.013805
5 0.013805
5 0.013811
5 0.013811
5 0.013811
5 0.013903
5 0.014003
5 0.014006
5 0.014012
5 0.014212
5 0.014481
5 0.014481
5 0.014484
5 0.014484
5 0.014487
5 0.014490
5 0.014635
5 0.014726
5 0.014904
5 0.014908
6 0.015009
6 0.015012
5 0.015145
5 0.015148
5 0.015148
5 0.015155
5 0.015155
5 0.015155
5 0.015395
5 0.015612
5 0.015615
5 0.015623
5 0.015879
5 0.015882
5 0.015883
5 0.015886
5 0.015890
5 0.015893
5 0.015933
5 0.015934
5 0.015937
5 0.015938
5 0.015941
5 0.015943
5 0.016006
5 0.016013
5 0.016249
5 0.016418
5 0.016457
5 0.016459
5 0.016463
5 0.016466
5 0.016466
5 0.016471
5 0.016499
5 0.016611
5 0.016615
5 0.016624
5 0.016799
5 0.016799
5 0.016801
5 0.016805
5 0.016808
5 0.016813
5 0.016876
4 0.016947
4 0.016958
5 0.017022
8 0.017069
8 0.017069
8 0.017070
8 0.017071
8 0.017081
8 0.017081
8 0.017082
8 0.017082
8 0.017083
8 0.017083
8 0.017085
8 0.017085
8 0.017086
4 0.017107
4 0.017112
4 0.017119
5 0.017217
6 0.017293
6 0.017308
6 0.017309
5 0.017325
4 0.017380
4 0.017385
4 0.017392
4 0.017397
4 0.017410
4 0.017422
4 0.017422
5 0.017456
4 0.017755
4 0.017756
4 0.017759
4 0.017760
4 0.017763
4 0.017766
4 0.017769
5 0.017872
4 0.018035
4 0.018048
4 0.018115
4 0.018128
4 0.018128
4 0.018187
4 0.018189
4 0.018199
4 0.018202
5 0.018220
4 0.018271
4 0.018283
4 0.018283
4 0.018334
4 0.018338
4 0.018344
6 0.018394
6 0.018412
4 0.018463
4 0.018463
4 0.018464
4 0.018464
4 0.018540
4 0.018553
5 0.018575
5 0.018644
4 0.018687
4 0.018687
4 0.018688
4 0.018691
4 0.018693
4 0.018694
4 0.018698
5 0.019140
5 0.019145
5 0.019146
5 0.019146
5 0.019155
5 0.019156
4 0.019156
4 0.019158
4 0.019161
4 0.019163
4 0.019168
4 0.019170
4 0.019175
4 0.019214
4 0.019214
4 0.019216
4 0.019219
4 0.019219
4 0.019220
4 0.019223
4 0.019226
5 0.019275
5 0.019280
5 0.019280
5 0.019290
5 0.019291
5 0.019291
5 0.019300
5 0.019459
4 0.019586
4 0.019601
4 0.019601
4 0.019803
4 0.019803
8 0.020000
8 0.020001
8 0.020003
8 0.020004
8 0.020016
8 0.020016
8 0.020017
8 0.020017
8 0.020021
8 0.020021
8 0.020021
8 0.020022
8 0.020023
4 0.020092
4 0.020097
4 0.020099
4 0.020102
4 0.020102
4 0.020107
4 0.020109
7 0.020148
5 0.020216
5 0.020219
5 0.020222
5 0.020228
5 0.020233
5 0.020239
4 0.020288
4 0.020304
5 0.020378
5 0.020382
5 0.020385
5 0.020389
5 0.020394
5 0.020396
4 0.020470
4 0.020470
4 0.020471
4 0.020472
4 0.020489
4 0.020499
4 0.020499
5 0.020511
7 0.020512
7 0.020512
7 0.020512
7 0.020514
7 0.020514
7 0.020515
4 0.020718
4 0.020724
4 0.020735
5 0.020779
4 0.021297
4 0.021306
4 0.021306
4 0.021397
4 0.021403
4 0.021415
4 0.021420
4 0.021424
4 0.021424
4 0.021427
4 0.021428
5 0.021504
5 0.021510
5 0.021525
5 0.021602
4 0.021696
4 0.021696
4 0.021697
7 0.021856
5 0.022035
4 0.022152
4 0.022164
5 0.022224
4 0.022276
4 0.022277
4 0.022278
4 0.022278
4 0.022328
4 0.022328
4 0.022328
7 0.022353
7 0.022353
7 0.022353
7 0.022356
7 0.022356
7 0.022357
4 0.022373
4 0.022374
4 0.022384
7 0.022465
5 0.022737
5 0.022747
5 0.022751
5 0.022755
5 0.022763
5 0.022769
4 0.022990
4 0.023002
4 0.023004
4 0.023068
4 0.023076
4 0.023103
4 0.023107
5 0.023107
4 0.023110
4 0.023114
4 0.023120
4 0.023124
4 0.023130
5 0.023182
4 0.023345
4 0.023346
4 0.023350
4 0.023352
4 0.023354
4 0.023356
4 0.023360
4 0.023362
4 0.023498
4 0.023498
4 0.023499
4 0.023836
4 0.023857
4 0.023858
4 0.023959
4 0.023959
4 0.023960
4 0.023967
4 0.023973
4 0.023981
4 0.023994
4 0.024008
3 0.024086
3 0.024092
3 0.024092
3 0.024104
3 0.024104
3 0.024104
4 0.024205
4 0.024214
4 0.024219
4 0.024418
4 0.024430
3 0.024627
4 0.024647
4 0.024650
4 0.024656
4 0.024701
4 0.024703
4 0.024703
3 0.024832
5 0.024846
4 0.024921
4 0.024923
4 0.024936
4 0.024938
6 0.025050
6 0.025058
6 0.025060
4 0.025255
4 0.025256
4 0.025258
4 0.025295
4 0.025308
4 0.025310
7 0.025508
7 0.025513
4 0.025525
4 0.025526
7 0.025526
7 0.025526
4 0.025527
7 0.025528
7 0.025528
7 0.025528
3 0.025642
3 0.025646
3 0.025651
4 0.025812
4 0.025821
4 0.025822
4 0.025889
4 0.025890
4 0.025891
6 0.025895
6 0.025905
6 0.025905
6 0.026013
6 0.026023
4 0.026039
4 0.026055
4 0.026056
3 0.026102
7 0.026111
3 0.026211
7 0.026242
7 0.026242
7 0.026242
7 0.026246
7 0.026246
7 0.026247
7 0.026338
3 0.026369
3 0.026373
3 0.026377
3 0.026382
3 0.026386
3 0.026391
3 0.026426
3 0.026432
3 0.026434
3 0.026435
3 0.026447
3 0.026448
4 0.026496
4 0.026506
4 0.026508
5 0.026555
4 0.026671
4 0.026671
4 0.026673
4 0.026693
4 0.026694
4 0.026697
3 0.026697
4 0.026698
3 0.026698
3 0.026703
3 0.026705
3 0.026712
3 0.026719
4 0.026955
4 0.026955
4 0.026956
4 0.026956
5 0.027072
5 0.027078
5 0.027084
5 0.027087
5 0.027098
5 0.027104
3 0.027139
3 0.027152
3 0.027161
4 0.027199
4 0.027208
4 0.027213
4 0.027217
4 0.027218
4 0.027227
4 0.027231
6 0.027233
6 0.027243
6 0.027245
4 0.027297
4 0.027298
4 0.027315
4 0.027316
6 0.027422
6 0.027434
3 0.027528
3 0.027537
3 0.027552
3 0.027738
4 0.027963
3 0.027979
4 0.027994
4 0.028571
4 0.028584
5 0.028645
4 0.028929
4 0.028947
4 0.028959
4 0.028990
4 0.028991
4 0.028992
4 0.028993
4 0.029105
4 0.029106
4 0.029120
4 0.029120
8 0.029245
8 0.029247
8 0.029260
8 0.029263
4 0.029270
4 0.029273
8 0.029277
8 0.029277
4 0.029282
8 0.029283
8 0.029283
4 0.029285
8 0.029287
8 0.029290
8 0.029295
8 0.029298
8 0.029299
4 0.029465
4 0.029468
4 0.029485
4 0.029506
4 0.029510
4 0.029513
3 0.029562
4 0.029566
3 0.029566
4 0.029567
3 0.029572
6 0.029581
4 0.029587
4 0.029588
6 0.029593
3 0.029594
6 0.029594
6 0.029943
4 0.029950
6 0.029957
4 0.029964
4 0.029972
4 0.029985
4 0.030339
3 0.030341
4 0.030342
3 0.030346
3 0.030352
4 0.030360
3 0.030362
4 0.030362
3 0.030369
3 0.030380
3 0.030560
3 0.030566
3 0.030570
3 0.030577
3 0.030584
3 0.030588
4 0.030662
4 0.030663
4 0.030688
4 0.031150
4 0.031168
4 0.031173
4 0.031229
4 0.031231
4 0.031248
3 0.032098
4 0.032146
4 0.032146
4 0.032147
4 0.032490
4 0.032491
4 0.032506
4 0.032731
4 0.032732
4 0.032752
4 0.032753
3 0.032845
3 0.032874
4 0.033217
4 0.033218
4 0.033814
4 0.033838
4 0.033839
4 0.033933
4 0.033936
4 0.033944
5 0.034140
4 0.034223
4 0.034227
4 0.034227
4 0.034230
6 0.034514
3 0.034531
6 0.034532
6 0.034533
4 0.034637
4 0.034669
4 0.034921
4 0.034922
4 0.034942
4 0.034943
3 0.034983
3 0.034986
3 0.034989
3 0.034992
3 0.034993
3 0.034996
3 0.034996
6 0.035389
6 0.035408
3 0.035514
3 0.035530
3 0.035533
3 0.035543
3 0.035547
3 0.035547
3 0.035656
3 0.035662
3 0.035663
3 0.035673
3 0.035676
3 0.035677
3 0.035902
3 0.035922
3 0.035938
3 0.036473
3 0.036477
3 0.036483
3 0.036486
3 0.036487
3 0.036493
3 0.036493
3 0.036619
3 0.036634
3 0.036660
4 0.036685
4 0.036718
4 0.036721
4 0.036754
7 0.036808
7 0.036924
7 0.036992
7 0.036992
7 0.036997
7 0.036997
7 0.036997
3 0.037380
3 0.037400
3 0.037408
3 0.037416
3 0.037433
3 0.037444
2 0.037457
2 0.037481
2 0.037496
2 0.037669
4 0.037672
4 0.037673
2 0.037675
2 0.037705
2 0.037705
3 0.037951
3 0.037958
3 0.037958
3 0.037962
3 0.037962
3 0.037964
4 0.037978
4 0.037980
4 0.037992
7 0.038076
5 0.038276
4 0.038338
4 0.038339
4 0.038347
4 0.038348
2 0.038427
2 0.038427
2 0.038430
2 0.038430
7 0.038725
7 0.038725
7 0.038725
7 0.038734
7 0.038734
7 0.038736
3 0.038740
7 0.038742
3 0.038748
3 0.038748
3 0.038750
3 0.038764
3 0.038764
2 0.038765
2 0.038790
2 0.038805
5 0.039077
5 0.039080
5 0.039080
2 0.039191
2 0.039194
2 0.039200
2 0.039232
2 0.039233
7 0.039285
3 0.039556
7 0.039708
7 0.039708
7 0.039708
3 0.039711
7 0.039714
7 0.039714
3 0.039722
3 0.039723
3 0.039730
3 0.039730
3 0.039732
2 0.039788
2 0.039788
2 0.039791
2 0.039791
7 0.039793
2 0.040109
2 0.040111
2 0.040116
2 0.040118
2 0.040193
2 0.040196
2 0.040303
2 0.040305
2 0.040307
2 0.040309
2 0.040327
2 0.040334
2 0.040337
3 0.040427
3 0.040469
2 0.040555
2 0.040555
2 0.040556
8 0.040964
8 0.040966
8 0.040973
8 0.040975
8 0.040993
8 0.040996
8 0.040996
8 0.041002
8 0.041003
8 0.041005
8 0.041005
8 0.041006
8 0.041006
8 0.041006
