Symbol: Hg
Atomic Number: 80
Atomic Mass: 200.590000
Start Spectral Index: 3
1 127
2 554
3 52
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.062144
3 0.067968
2 0.078250
2 0.078776
2 0.080247
2 0.082133
3 0.087859
3 0.088648
2 0.089308
2 0.089329
2 0.091582
2 0.092338
2 0.094074
2 0.094263
2 0.096271
2 0.096914
3 0.098889
3 0.100929
2 0.102297
2 0.102757
2 0.102991
2 0.103374
2 0.103469
2 0.103963
2 0.105296
2 0.106278
3 0.106803
2 0.107037
2 0.107334
2 0.107442
2 0.108365
2 0.109680
2 0.110588
2 0.112233
2 0.112805
2 0.113770
2 0.114104
2 0.115679
2 0.116038
3 0.116195
2 0.116220
2 0.120371
2 0.123343
1 0.125057
2 0.125741
1 0.125924
2 0.126454
1 0.126881
2 0.126883
2 0.127679
2 0.127845
2 0.128491
2 0.129467
2 0.130037
2 0.130443
1 0.130775
2 0.130793
2 0.130815
2 0.130914
2 0.131396
2 0.132171
2 0.132304
2 0.133174
2 0.134724
2 0.134778
2 0.134969
2 0.135027
2 0.135218
2 0.135250
2 0.135429
2 0.135698
2 0.135728
2 0.135920
2 0.135993
2 0.136126
2 0.136819
2 0.137257
2 0.137954
2 0.138220
2 0.138981
2 0.139379
2 0.140046
1 0.140262
2 0.140453
2 0.140694
2 0.141442
2 0.141701
2 0.141939
2 0.142999
1 0.143551
2 0.144696
2 0.145948
2 0.147403
2 0.147778
2 0.148656
2 0.149154
2 0.149700
2 0.149777
2 0.150914
2 0.151162
2 0.152750
2 0.153030
2 0.153359
2 0.153914
2 0.153971
2 0.154191
2 0.154518
2 0.156115
2 0.156148
2 0.156660
2 0.157762
2 0.158175
2 0.158467
2 0.158958
2 0.159145
2 0.159393
2 0.159691
2 0.159960
2 0.160154
2 0.160531
2 0.161176
2 0.161408
2 0.161770
2 0.161928
2 0.162155
2 0.162214
2 0.162387
2 0.163409
2 0.163580
2 0.163872
2 0.164044
2 0.164166
2 0.164331
2 0.164451
2 0.164966
2 0.164994
2 0.165361
2 0.165544
2 0.166253
2 0.166385
2 0.166709
2 0.167254
2 0.167438
2 0.167558
2 0.167581
3 0.168140
2 0.168873
2 0.169511
2 0.170261
2 0.170353
2 0.170543
2 0.170712
2 0.170881
2 0.171174
2 0.171288
2 0.171842
2 0.173182
2 0.175411
3 0.175975
1 0.177534
2 0.178760
2 0.179277
2 0.179392
2 0.179865
2 0.179893
2 0.180081
2 0.180616
2 0.180829
2 0.182072
2 0.182386
2 0.182512
2 0.183256
1 0.183287
2 0.183667
2 0.184062
2 0.184120
2 0.184742
2 0.184893
1 0.184949
2 0.185046
2 0.185327
2 0.186072
2 0.186223
2 0.186806
2 0.186923
2 0.186986
2 0.187078
2 0.187096
2 0.187555
2 0.188970
2 0.189209
3 0.189477
