Symbol: Pb
Atomic Number: 82
Atomic Mass: 207.200000
Start Spectral Index: 5
1 129
2 97
3 41
4 92
5 90
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.036740
5 0.037253
5 0.038787
5 0.039438
5 0.042464
5 0.043103
5 0.043660
5 0.043847
5 0.043891
5 0.045345
5 0.046170
4 0.047536
4 0.047835
5 0.049620
4 0.049638
4 0.049994
4 0.051507
4 0.052978
4 0.057016
4 0.057390
4 0.058452
4 0.064850
4 0.065610
5 0.069442
5 0.069620
5 0.070373
5 0.070629
5 0.070766
5 0.073085
5 0.074946
5 0.075252
5 0.075580
4 0.076109
5 0.076276
5 0.076587
5 0.076745
5 0.076949
5 0.077142
5 0.078279
5 0.078705
5 0.079702
5 0.079980
4 0.080207
4 0.080282
5 0.080963
5 0.081232
4 0.081259
5 0.081410
5 0.082009
4 0.082207
5 0.082552
4 0.082741
5 0.082932
4 0.083260
4 0.084099
4 0.084288
4 0.084594
2 0.084604
2 0.084988
5 0.085198
2 0.085557
4 0.085764
4 0.085902
4 0.086233
2 0.086300
5 0.086397
5 0.086710
4 0.087044
2 0.087371
2 0.087796
4 0.087996
4 0.088035
5 0.088050
5 0.088390
4 0.088496
4 0.088499
5 0.088837
2 0.088968
4 0.089072
5 0.089440
5 0.089608
2 0.089630
4 0.090851
5 0.091509
5 0.091571
4 0.091790
5 0.091809
5 0.092028
5 0.092066
4 0.092212
4 0.092249
4 0.092452
2 0.092644
4 0.092764
4 0.093220
4 0.093700
5 0.094074
5 0.094620
5 0.095093
4 0.095285
5 0.095435
5 0.095495
5 0.095528
2 0.095876
2 0.096021
3 0.096101
5 0.096438
2 0.096536
2 0.096723
2 0.097256
2 0.098217
2 0.098671
5 0.098914
2 0.099589
2 0.100181
5 0.100542
4 0.101244
2 0.101661
4 0.102861
3 0.103050
4 0.103205
4 0.104124
4 0.104414
3 0.104890
2 0.104982
2 0.105077
5 0.105126
4 0.105653
5 0.105926
2 0.106066
2 0.106558
3 0.106920
4 0.107209
3 0.107470
4 0.107988
4 0.108081
4 0.108417
5 0.108886
4 0.108994
5 0.109652
4 0.109947
2 0.110394
5 0.110479
2 0.110843
2 0.110984
4 0.111530
4 0.111608
3 0.111867
2 0.111957
5 0.112133
2 0.112136
2 0.113314
5 0.113750
4 0.113784
4 0.114277
4 0.114493
2 0.114591
5 0.115236
5 0.115788
3 0.116700
5 0.118543
4 0.118995
2 0.120363
2 0.123120
5 0.123350
5 0.124847
3 0.125060
3 0.126690
4 0.126755
4 0.129082
4 0.129110
4 0.131305
4 0.132392
2 0.133165
2 0.133520
4 0.134306
2 0.134837
4 0.138894
4 0.139702
4 0.140026
4 0.140434
2 0.143396
2 0.144935
4 0.151076
2 0.151242
4 0.153571
3 0.155310
3 0.161010
5 0.163575
2 0.167153
2 0.168215
3 0.171123
2 0.172675
1 0.174000
1 0.176664
1 0.179467
2 0.179667
4 0.179839
5 0.180287
1 0.181297
2 0.182205
5 0.184300
1 0.186876
5 0.188867
4 0.189319
5 0.189702
1 0.190477
5 0.191433
5 0.191974
2 0.192147
5 0.195796
4 0.195934
1 0.197244
4 0.197316
1 0.197788
1 0.199160
1 0.199231
5 0.199858
5 0.199883
1 0.202267
4 0.204324
4 0.205000
1 0.205154
1 0.205394
5 0.207911
4 0.207988
1 0.211243
1 0.211574
5 0.214323
4 0.215264
4 0.215469
5 0.216865
1 0.217068
1 0.217626
4 0.217814
1 0.218857
1 0.219029
2 0.220422
1 0.223812
1 0.224756
1 0.224759
5 0.225971
5 0.227736
5 0.230220
1 0.233313
4 0.236025
1 0.238953
1 0.239452
1 0.240033
1 0.240267
1 0.241247
4 0.241834
5 0.242555
1 0.244457
1 0.244692
1 0.247713
2 0.252745
2 0.257737
1 0.257803
2 0.260916
1 0.261443
1 0.261496
1 0.262905
2 0.263504
1 0.265788
1 0.266395
1 0.269834
1 0.280282
1 0.282341
1 0.282402
1 0.283389
2 0.284139
4 0.286508
4 0.286534
1 0.287415
2 0.288815
2 0.291530
2 0.294829
2 0.294939
1 0.296733
1 0.297386
4 0.297901
1 0.298103
2 0.298775
2 0.301727
3 0.304474
4 0.305345
3 0.308998
3 0.310364
1 0.311980
3 0.313872
3 0.317742
1 0.322146
4 0.322210
1 0.323054
1 0.324112
3 0.324378
1 0.326330
3 0.353118
1 0.357375
3 0.359089
1 0.364060
1 0.367254
1 0.368451
3 0.369036
3 0.370707
2 0.371504
3 0.372975
1 0.374100
3 0.385517
3 0.395304
4 0.396360
1 0.402077
3 0.403230
4 0.405094
1 0.405895
1 0.406328
3 0.409570
2 0.411192
2 0.411451
3 0.412927
2 0.415399
1 0.415899
1 0.416921
2 0.424333
2 0.424612
3 0.427386
2 0.429503
2 0.429786
1 0.434163
2 0.435396
2 0.438769
4 0.449741
3 0.450060
4 0.453587
3 0.457249
2 0.458033
2 0.458355
3 0.459774
4 0.460669
3 0.476245
3 0.479993
5 0.481070
3 0.482821
3 0.485642
1 0.500681
1 0.500797
2 0.504399
3 0.506653
2 0.507199
2 0.507594
1 0.507777
1 0.509090
1 0.509143
1 0.510867
2 0.511306
3 0.519301
1 0.520289
2 0.536913
2 0.537359
3 0.552550
2 0.554579
2 0.561041
1 0.569393
3 0.578101
3 0.585958
1 0.589726
4 0.591618
1 0.600352
2 0.601124
1 0.601333
2 0.604284
1 0.606103
2 0.607742
2 0.608309
1 0.611221
2 0.616159
1 0.623699
5 0.665283
2 0.666204
5 0.675506
1 0.689401
1 0.713091
2 0.719558
1 0.723096
1 0.730669
1 0.733217
1 0.734870
2 0.756105
2 0.763466
2 0.773509
1 0.781141
1 0.782012
1 0.783116
1 0.789891
2 0.815915
1 0.817025
1 0.819414
1 0.821997
1 0.825788
1 0.827496
2 0.833783
2 0.839799
1 0.841169
1 0.848082
1 0.853451
2 0.854730
2 0.871229
2 0.872178
1 0.872521
1 0.885989
2 0.905330
2 0.906592
2 0.924782
1 0.929603
1 0.938692
1 0.938847
1 0.944064
1 0.960693
1 0.961137
1 0.967700
1 1.029328
1 1.043718
1 1.050184
1 1.065217
1 1.076236
1 1.076269
1 1.088967
1 1.097253
1 1.106225
1 1.133618
2 1.148263
1 1.149191
2 1.163109
1 1.256481
1 1.349900
1 1.350190
1 1.351630
1 1.472680
1 1.474610
1 1.474700
1 1.531900
1 1.533180
1 1.533520
1 1.535380
1 3.884170
1 3.896070
1 3.896920
1 3.905000
End Spectral Lines:
