Symbol: Bi
Atomic Number: 83
Atomic Mass: 208.980000
Start Spectral Index: 5
1 70
2 111
3 57
4 45
5 18
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.035577
5 0.036952
4 0.042070
5 0.042978
4 0.043120
5 0.043563
5 0.048839
5 0.049272
5 0.056362
3 0.059073
3 0.067076
5 0.067887
5 0.068688
5 0.070654
5 0.073071
5 0.073817
3 0.077516
4 0.079050
4 0.079060
4 0.079250
3 0.080365
4 0.082030
4 0.082290
4 0.082490
5 0.084986
5 0.085568
5 0.086445
4 0.087260
4 0.087680
5 0.088017
4 0.091670
3 0.092093
4 0.092390
3 0.092548
5 0.092981
4 0.094330
4 0.096760
4 0.096880
4 0.098980
3 0.103999
3 0.104576
3 0.105181
2 0.105888
2 0.108547
2 0.109920
4 0.110340
4 0.112880
4 0.113860
3 0.113901
5 0.113946
4 0.113980
3 0.114591
4 0.114970
2 0.116319
2 0.116706
3 0.122464
2 0.122543
2 0.123278
2 0.124105
2 0.126535
2 0.128373
2 0.130618
4 0.131700
2 0.132546
3 0.132684
2 0.132947
3 0.134612
2 0.135007
2 0.137261
2 0.137602
2 0.139392
3 0.142333
3 0.142352
2 0.143683
2 0.144794
2 0.145511
3 0.146100
2 0.146214
2 0.148693
2 0.150250
2 0.152057
2 0.153317
2 0.153677
2 0.153806
2 0.156367
2 0.157370
2 0.159179
2 0.160158
3 0.160640
2 0.160970
2 0.161138
2 0.165281
3 0.169150
2 0.174929
2 0.177711
2 0.178747
2 0.179193
2 0.182380
3 0.183432
3 0.186390
2 0.190241
4 0.191000
3 0.191212
1 0.195453
1 0.196013
3 0.198826
2 0.198935
3 0.202140
3 0.202180
1 0.202186
1 0.206236
2 0.206960
3 0.207388
3 0.207403
4 0.209400
3 0.210409
1 0.211093
1 0.213430
2 0.214408
2 0.214414
1 0.217800
2 0.218760
3 0.221424
2 0.221470
1 0.222894
1 0.223130
1 0.227728
4 0.231200
4 0.232700
2 0.236884
2 0.236897
4 0.237700
1 0.240161
3 0.241530
3 0.243830
2 0.250180
1 0.251645
1 0.252525
2 0.254530
1 0.262869
4 0.263000
4 0.267800
2 0.269380
1 0.269756
2 0.271410
1 0.273131
4 0.276800
4 0.277300
1 0.278134
4 0.278700
1 0.279950
2 0.280425
2 0.280453
2 0.280610
1 0.281045
4 0.284300
3 0.284820
3 0.285640
1 0.289883
4 0.292500
4 0.293400
4 0.293700
2 0.293760
1 0.293916
2 0.295130
2 0.296430
1 0.298990
1 0.299421
4 0.301300
1 0.302552
1 0.303575
4 0.304300
1 0.306861
1 0.307755
3 0.311590
4 0.324000
1 0.339819
1 0.340390
2 0.343181
2 0.343221
3 0.345200
3 0.347480
3 0.348650
1 0.351185
3 0.354180
1 0.359714
3 0.361440
4 0.364400
2 0.365520
4 0.368300
3 0.369637
3 0.369673
4 0.373500
2 0.379360
2 0.381220
2 0.381690
2 0.384690
2 0.386500
4 0.386900
1 0.388930
2 0.408030
2 0.409840
1 0.412269
1 0.412302
3 0.422580
2 0.426060
2 0.427320
2 0.430290
1 0.430970
3 0.432900
2 0.434100
2 0.434170
4 0.434300
2 0.438060
2 0.447810
1 0.449430
3 0.456212
3 0.456282
2 0.470660
1 0.472384
2 0.473160
2 0.475100
3 0.479870
2 0.490960
2 0.491800
2 0.497110
2 0.499500
3 0.508070
2 0.509300
2 0.512570
2 0.514570
2 0.520290
2 0.521070
2 0.527180
4 0.534800
2 0.539930
1 0.555389
1 0.560096
2 0.565680
2 0.572080
1 0.574414
2 0.581990
2 0.586180
2 0.597470
2 0.606080
2 0.612970
1 0.613652
1 0.647752
1 0.647803
2 0.649950
2 0.657900
2 0.660200
3 0.662520
2 0.681050
1 0.699305
2 0.703500
1 0.703809
2 0.738300
3 0.738300
1 0.750440
3 0.755300
3 0.760000
3 0.763900
2 0.763900
2 0.775200
1 0.784086
1 0.784249
2 0.796700
3 0.801000
2 0.805200
3 0.807200
3 0.810200
2 0.833000
2 0.839000
2 0.853400
1 0.854689
1 0.858210
2 0.865500
3 0.867300
1 0.875728
1 0.876395
2 0.886500
1 0.891026
3 0.893600
1 0.965969
1 0.983047
1 1.010730
1 1.014160
1 1.030340
1 1.053908
1 1.107547
1 1.155480
1 1.171358
1 1.200277
1 1.216841
1 1.237803
1 1.269351
1 1.282130
1 1.433440
1 1.600590
1 2.255780
End Spectral Lines:
