Symbol: Ac
Atomic Number: 89
Atomic Mass: 227.028000
Start Spectral Index: 4
1 11
2 61
3 8
4 6
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.206266
2 0.210067
4 0.250287
4 0.255885
3 0.262722
3 0.268370
2 0.271330
2 0.272704
2 0.276100
2 0.278238
4 0.279165
4 0.279472
2 0.279841
2 0.280759
2 0.283430
2 0.284800
2 0.289605
2 0.289767
2 0.292388
3 0.295341
2 0.299504
2 0.304419
2 0.307025
2 0.307896
2 0.308694
2 0.308827
2 0.311373
2 0.312106
2 0.315400
2 0.315532
2 0.316573
4 0.322560
2 0.323152
2 0.323863
2 0.326185
2 0.331896
2 0.338450
3 0.339375
2 0.341482
2 0.341875
2 0.348216
3 0.348859
2 0.349053
2 0.353025
2 0.353564
2 0.355601
2 0.356661
2 0.369593
2 0.375774
2 0.380090
2 0.386422
2 0.391558
2 0.406275
2 0.408959
2 0.416958
1 0.418116
1 0.418430
1 0.419558
2 0.421088
2 0.436036
1 0.438576
2 0.438764
1 0.439795
3 0.441433
1 0.446398
2 0.450846
3 0.457115
2 0.460674
1 0.471790
2 0.472148
2 0.481356
2 0.494656
2 0.495961
2 0.496225
3 0.519466
2 0.544789
2 0.573364
2 0.576057
2 0.591249
2 0.616646
2 0.616954
2 0.624456
1 0.636162
1 0.669312
1 0.729241
1 0.786826
End Spectral Lines:
