Symbol: Th
Atomic Number: 90
Atomic Mass: 232.038000
Start Spectral Index: 4
1 581
2 329
3 34
4 27
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.079753
4 0.083555
4 0.084691
4 0.085402
4 0.088239
4 0.088666
4 0.156585
4 0.168222
4 0.168401
4 0.170737
3 0.188812
4 0.195902
4 0.200299
4 0.206736
4 0.214459
4 0.214749
3 0.214986
3 0.216350
3 0.220043
3 0.220731
4 0.224281
4 0.226196
3 0.229230
4 0.229752
3 0.230189
3 0.232023
3 0.232539
2 0.232764
3 0.233622
3 0.234130
3 0.236378
3 0.236963
3 0.237214
2 0.237857
3 0.238220
3 0.239221
2 0.240524
2 0.241414
3 0.241423
3 0.242528
3 0.242868
3 0.243242
1 0.244017
3 0.244198
3 0.246441
3 0.247468
3 0.250183
3 0.251345
3 0.251507
1 0.253365
2 0.254867
2 0.256636
2 0.256736
2 0.257746
2 0.258983
2 0.259782
2 0.260166
2 0.261063
2 0.261969
2 0.262423
2 0.262652
2 0.262960
2 0.264228
2 0.265137
2 0.265945
1 0.268149
2 0.268508
2 0.269321
4 0.269479
2 0.269635
2 0.270476
2 0.270898
2 0.272250
2 0.272319
2 0.273014
2 0.273362
2 0.273664
2 0.274797
2 0.275034
2 0.275298
2 0.276121
2 0.276594
2 0.276966
2 0.277163
2 0.277477
2 0.277488
2 0.277953
1 0.279232
2 0.279508
2 0.279856
2 0.279994
2 0.280865
2 0.280983
2 0.281515
2 0.281690
2 0.282015
2 0.282117
2 0.282286
2 0.282769
2 0.283127
2 0.283315
2 0.283813
2 0.284365
1 0.284892
2 0.285210
1 0.285518
1 0.286133
2 0.286226
1 0.286930
2 0.287076
2 0.287125
1 0.287950
2 0.288336
2 0.288514
2 0.288590
2 0.288866
2 0.289302
2 0.290057
2 0.290402
1 0.290936
2 0.291145
2 0.291217
2 0.291286
2 0.292069
2 0.292591
2 0.292911
1 0.293214
2 0.293499
1 0.293694
2 0.294145
2 0.294372
1 0.294459
2 0.294993
2 0.295130
2 0.295671
2 0.295844
1 0.296072
1 0.296447
2 0.296955
2 0.297235
2 0.297488
1 0.297697
2 0.298120
2 0.298611
2 0.298910
2 0.299193
2 0.299786
1 0.300356
1 0.300512
2 0.300937
1 0.301161
1 0.301952
1 0.302194
2 0.302746
1 0.303137
2 0.303495
2 0.303599
2 0.303948
2 0.304645
2 0.304998
1 0.305758
2 0.306259
2 0.306862
2 0.307301
2 0.307972
2 0.308111
2 0.308937
2 0.309099
1 0.309461
2 0.309817
2 0.310356
2 0.310920
1 0.311644
1 0.311717
2 0.312043
2 0.312387
2 0.312529
2 0.312641
2 0.313198
1 0.313713
2 0.314022
2 0.314375
2 0.314696
2 0.315137
2 0.315521
1 0.315814
1 0.316228
2 0.316702
2 0.317024
2 0.317665
2 0.317997
2 0.318111
2 0.318587
2 0.318915
2 0.319214
1 0.319351
1 0.319661
1 0.320345
2 0.321124
1 0.321531
2 0.322222
1 0.322410
2 0.322994
2 0.323180
2 0.323677
2 0.323905
2 0.324204
1 0.324538
2 0.325285
2 0.325721
1 0.325830
2 0.326361
2 0.326795
1 0.327297
1 0.327968
1 0.328199
1 0.328670
2 0.328874
2 0.329269
2 0.329347
2 0.329878
1 0.330260
1 0.330519
1 0.331032
1 0.331574
1 0.331935
2 0.332241
2 0.332571
2 0.332608
2 0.332921
1 0.333143
2 0.333556
2 0.333883
2 0.334303
2 0.334752
1 0.334973
2 0.335219
2 0.335514
2 0.335957
2 0.336270
2 0.336879
1 0.337594
2 0.337954
1 0.338183
2 0.338650
2 0.338747
1 0.338889
2 0.339301
1 0.339770
1 0.339952
1 0.340654
1 0.341399
1 0.341848
1 0.342219
1 0.342497
1 0.342961
2 0.343498
2 0.343696
2 0.343994
1 0.344357
1 0.344754
1 0.345269
1 0.345806
2 0.346384
2 0.346692
2 0.346921
2 0.347091
1 0.347221
2 0.348017
1 0.348105
1 0.348755
1 0.349018
2 0.349452
1 0.349781
1 0.349962
1 0.350479
1 0.350765
1 0.351216
1 0.351941
1 0.352207
1 0.352764
1 0.353246
2 0.354060
1 0.354503
1 0.355061
1 0.355242
1 0.355603
2 0.356047
1 0.356439
1 0.357084
1 0.357758
1 0.358412
1 0.359077
1 0.359381
1 0.359915
2 0.360206
1 0.360941
2 0.361048
1 0.361346
2 0.361616
2 0.361815
2 0.362500
2 0.362666
1 0.363387
1 0.363698
1 0.363968
1 0.364329
1 0.365077
1 0.365985
1 0.366067
1 0.366425
1 0.366919
1 0.367101
2 0.367661
1 0.368353
1 0.368971
1 0.369168
1 0.369362
1 0.369916
1 0.370428
1 0.370782
2 0.371236
1 0.372049
1 0.372089
2 0.372288
1 0.372896
1 0.373473
2 0.374225
1 0.374860
2 0.375364
1 0.375876
1 0.376631
1 0.377113
1 0.377372
1 0.377734
1 0.378204
2 0.378668
1 0.379024
1 0.379646
1 0.380128
1 0.380415
1 0.380835
2 0.381415
1 0.381977
1 0.382622
1 0.382947
1 0.383767
2 0.384084
2 0.384305
1 0.384798
1 0.385323
2 0.385560
2 0.386093
2 0.386450
1 0.387076
1 0.387647
1 0.388074
1 0.388802
1 0.389652
1 0.390277
1 0.390421
2 0.390629
1 0.390986
1 0.391302
1 0.391753
1 0.392013
1 0.392620
2 0.393078
1 0.393402
2 0.393815
1 0.394319
1 0.394915
2 0.395008
1 0.395388
1 0.396042
1 0.396851
1 0.397328
1 0.398122
1 0.399286
2 0.399568
1 0.399919
2 0.400444
2 0.400815
1 0.400934
1 0.401019
1 0.401363
2 0.402027
2 0.402679
1 0.402815
1 0.403198
1 0.403719
2 0.403771
2 0.404235
1 0.404943
1 0.405203
1 0.406040
1 0.406455
2 0.407035
1 0.407061
1 0.407665
1 0.408252
1 0.408659
2 0.408767
1 0.408988
2 0.409590
1 0.410150
2 0.410649
2 0.410958
1 0.411391
1 0.411692
2 0.411788
1 0.412476
1 0.412858
1 0.413217
