Symbol: Pa
Atomic Number: 91
Atomic Mass: 231.036000
Start Spectral Index: 2
1 55
2 33
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.259994
2 0.270002
2 0.282362
2 0.287226
2 0.289199
2 0.301198
2 0.303447
2 0.307213
2 0.309413
2 0.312714
2 0.314719
2 0.317181
2 0.317246
2 0.324152
2 0.327540
2 0.333365
2 0.334762
2 0.345381
1 0.350597
2 0.353166
1 0.357158
1 0.357284
1 0.361910
1 0.363756
1 0.370379
1 0.375374
1 0.387445
1 0.393294
2 0.395374
2 0.395897
2 0.397119
1 0.398295
1 0.398336
2 0.401409
2 0.401935
2 0.403130
2 0.404807
2 0.405735
2 0.407155
2 0.417736
2 0.421842
2 0.424928
2 0.429255
2 0.460272
1 0.603745
1 0.616427
1 0.636037
1 0.638101
1 0.644075
1 0.679462
1 0.694764
1 0.696201
1 0.696370
1 0.699466
1 0.707822
1 0.710290
1 0.711685
1 0.717353
1 0.722912
1 0.732081
1 0.737028
1 0.747395
1 0.749521
1 0.756034
1 0.761029
1 0.762889
1 0.763728
1 0.767145
1 0.768131
1 0.775132
1 0.787512
1 0.794775
1 0.804155
1 0.810207
1 0.820129
1 0.827414
1 0.836128
1 0.837190
1 0.844336
1 0.853500
1 0.857532
1 0.864228
1 0.865589
1 0.873767
1 1.092631
1 1.179496
1 1.434868
1 1.848366
End Spectral Lines:
