Symbol: U
Atomic Number: 92
Atomic Mass: 238.039000
Start Spectral Index: 2
1 216
2 258
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.256618
2 0.257048
2 0.259203
2 0.263632
2 0.264626
2 0.266996
2 0.268408
2 0.269184
2 0.270775
2 0.273478
2 0.275497
2 0.276367
2 0.277086
2 0.278527
2 0.279476
2 0.280339
2 0.280788
2 0.280981
2 0.281879
2 0.282195
2 0.282520
2 0.282973
2 0.283289
2 0.283802
2 0.284073
2 0.284293
2 0.285032
2 0.286131
2 0.286652
2 0.287181
2 0.288359
2 0.288810
2 0.288911
2 0.289047
2 0.289499
2 0.289536
2 0.290765
2 0.290913
2 0.291510
2 0.291548
2 0.292254
2 0.292824
2 0.292946
2 0.293227
2 0.293347
2 0.293472
2 0.294123
2 0.294278
2 0.294476
2 0.294895
2 0.295563
2 0.295692
2 0.296590
2 0.296881
2 0.297193
2 0.297722
2 0.298361
2 0.298548
2 0.299359
2 0.300879
2 0.302210
2 0.302309
2 0.302539
2 0.302907
2 0.303287
2 0.303406
2 0.304505
2 0.305109
2 0.305880
2 0.306251
2 0.306343
2 0.307367
2 0.309391
2 0.309665
2 0.309891
2 0.310329
2 0.310505
2 0.311252
2 0.312025
2 0.312586
2 0.314052
2 0.314588
2 0.314647
2 0.315015
2 0.315402
2 0.317713
2 0.317825
2 0.320698
2 0.323043
2 0.323309
2 0.324516
2 0.326673
2 0.327106
2 0.328916
2 0.329228
2 0.330684
2 0.333875
2 0.334262
1 0.335880
1 0.339135
2 0.339574
2 0.342554
1 0.343647
2 0.345454
2 0.345522
2 0.345804
2 0.345870
1 0.346091
1 0.346321
1 0.346454
1 0.346729
2 0.347351
1 0.347442
1 0.348136
2 0.348349
1 0.349037
2 0.349433
1 0.349500
2 0.349584
2 0.349741
1 0.350108
1 0.350501
2 0.350607
1 0.350834
2 0.350984
2 0.351066
1 0.351467
1 0.351562
2 0.352097
2 0.353212
2 0.353458
1 0.353534
2 0.354148
1 0.354358
2 0.354820
1 0.355021
2 0.355183
2 0.355318
1 0.355400
1 0.355400
1 0.355440
1 0.355550
1 0.355590
1 0.355634
1 0.355680
1 0.355790
1 0.355880
1 0.355900
1 0.355960
1 0.356040
1 0.356130
1 0.356243
1 0.356250
1 0.356282
1 0.356468
1 0.356480
1 0.356600
1 0.356700
1 0.356761
1 0.356980
1 0.357010
1 0.357040
1 0.357110
1 0.357120
1 0.357160
1 0.357170
1 0.357220
1 0.357260
1 0.357390
1 0.357490
1 0.357510
1 0.357578
1 0.357810
1 0.357850
1 0.357880
1 0.357894
1 0.357930
2 0.357974
1 0.358100
1 0.358120
1 0.358140
1 0.358190
2 0.358286
1 0.358360
1 0.358560
1 0.358590
1 0.358640
1 0.358680
1 0.358880
1 0.358930
1 0.359070
1 0.359080
2 0.359152
1 0.359170
1 0.359276
1 0.359400
1 0.359420
2 0.359455
1 0.359470
1 0.360630
2 0.360735
1 0.361736
2 0.361779
1 0.362111
1 0.362373
2 0.362409
2 0.363177
1 0.363924
2 0.364180
1 0.364528
2 0.364607
1 0.365258
1 0.365310
1 0.366019
2 0.367112
2 0.367980
2 0.369297
2 0.369475
2 0.370162
2 0.370257
1 0.371461
2 0.371848
2 0.371917
2 0.373088
2 0.373368
2 0.373413
2 0.373910
2 0.374531
2 0.374748
2 0.374821
2 0.374975
1 0.375224
2 0.375373
2 0.375655
1 0.375942
2 0.376031
1 0.376433
2 0.376564
1 0.376796
2 0.377060
1 0.377450
1 0.377755
2 0.378178
2 0.378391
2 0.378491
2 0.379418
1 0.379434
2 0.379465
1 0.381000
2 0.381030
1 0.381307
2 0.381487
2 0.381514
2 0.382760
2 0.383255
1 0.384072
2 0.384969
1 0.385531
2 0.385573
2 0.386066
2 0.386226
2 0.386702
2 0.386790
1 0.387213
2 0.387514
2 0.387918
2 0.388255
2 0.388346
2 0.388438
2 0.389146
2 0.389378
1 0.389522
2 0.389787
