Symbol: Np
Atomic Number: 93
Atomic Mass: 237.048000
Start Spectral Index: 1
1 96
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
1 0.348293
1 0.350250
1 0.398802
1 0.504607
1 0.560326
1 0.565432
1 0.578599
1 0.587967
1 0.601288
1 0.605777
1 0.607558
1 0.608173
1 0.612218
1 0.619030
1 0.620172
1 0.621762
1 0.631959
1 0.634313
1 0.656792
1 0.672254
1 0.675318
1 0.679709
1 0.680450
1 0.680769
1 0.681832
1 0.686734
1 0.690904
1 0.691482
1 0.693222
1 0.696555
1 0.697401
1 0.701595
1 0.702085
1 0.704108
1 0.708196
1 0.717681
1 0.718691
1 0.728629
1 0.729430
1 0.733454
1 0.737263
1 0.738306
1 0.738368
1 0.740474
1 0.751429
1 0.751722
1 0.754813
1 0.762693
1 0.762895
1 0.768312
1 0.768737
1 0.773727
1 0.776375
1 0.776789
1 0.777821
1 0.778960
1 0.779352
1 0.785360
1 0.789005
1 0.790388
1 0.797817
1 0.808254
1 0.812682
1 0.815735
1 0.816967
1 0.818531
1 0.819086
1 0.825009
1 0.828939
1 0.829003
1 0.830850
1 0.831595
1 0.834141
1 0.835909
1 0.836941
1 0.837518
1 0.853230
1 0.869862
1 0.890847
1 0.894516
1 0.900722
1 0.900878
1 0.901866
1 0.914381
1 0.938190
1 0.947126
1 0.968178
1 0.993327
1 1.009476
1 1.082041
1 1.169835
1 1.177986
1 1.215150
1 1.238081
1 1.241138
1 1.383811
End Spectral Lines:
