Symbol: Pu
Atomic Number: 94
Atomic Mass: 244.000000
Start Spectral Index: 2
1 141
2 135
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.278222
2 0.278530
2 0.280694
2 0.281660
2 0.289882
2 0.289979
2 0.290510
2 0.290579
2 0.291125
2 0.291885
2 0.291965
2 0.292694
2 0.292911
2 0.293057
2 0.293184
2 0.293318
2 0.293416
2 0.293940
2 0.293981
2 0.294225
2 0.294612
2 0.294686
2 0.295092
2 0.295532
2 0.296434
2 0.296771
2 0.296841
2 0.297337
2 0.297868
2 0.297924
2 0.298110
2 0.298210
2 0.298782
2 0.298908
2 0.299218
2 0.299727
2 0.300118
2 0.301045
2 0.302973
2 0.304350
2 0.304401
2 0.306121
2 0.307021
2 0.309223
2 0.309284
2 0.309349
2 0.310502
2 0.310594
2 0.312478
2 0.316012
2 0.316265
2 0.316410
2 0.317541
2 0.318033
2 0.318604
2 0.318852
2 0.319015
2 0.319447
2 0.319548
2 0.319939
2 0.320115
2 0.320193
2 0.320259
2 0.320541
2 0.320773
2 0.320890
1 0.321601
2 0.321708
2 0.322187
2 0.322580
2 0.323279
2 0.323356
2 0.324233
2 0.324390
2 0.324434
1 0.324510
2 0.324619
2 0.324729
2 0.324850
1 0.325302
2 0.326148
2 0.327405
2 0.327565
1 0.327618
1 0.329351
1 0.329456
1 0.329786
1 0.329882
2 0.329942
1 0.330271
1 0.330754
1 0.330761
2 0.330861
1 0.330970
2 0.331360
2 0.331629
2 0.331791
1 0.332157
1 0.332180
1 0.332815
2 0.333248
1 0.333330
2 0.333867
2 0.333936
1 0.333990
2 0.334883
1 0.335059
2 0.335278
2 0.335757
2 0.335938
2 0.335981
2 0.336323
1 0.336617
1 0.336983
2 0.337161
1 0.337216
1 0.337677
2 0.337773
2 0.337791
2 0.337834
1 0.338048
1 0.338279
2 0.338294
1 0.338367
2 0.339130
2 0.339238
1 0.339464
1 0.339529
2 0.341986
2 0.346609
2 0.347463
1 0.348420
2 0.358689
2 0.363325
2 0.370024
1 0.372165
1 0.372704
2 0.372717
2 0.372785
2 0.373309
1 0.374584
1 0.375470
1 0.375701
1 0.375889
1 0.375941
1 0.377545
1 0.377778
1 0.379330
1 0.380045
1 0.380701
1 0.381248
2 0.381338
1 0.382866
1 0.383661
1 0.383805
1 0.384001
1 0.384319
1 0.385210
1 0.385294
1 0.387964
1 0.389699
1 0.392964
2 0.397655
1 0.409828
1 0.410312
2 0.410711
1 0.411223
1 0.411607
1 0.412928
2 0.413109
1 0.413418
1 0.413714
1 0.414121
2 0.414237
1 0.415226
1 0.415262
1 0.415663
2 0.416056
1 0.416894
1 0.417213
2 0.417946
2 0.419108
2 0.419124
2 0.419738
1 0.420767
1 0.420942
1 0.422306
1 0.422539
2 0.423096
2 0.425596
1 0.426308
1 0.427097
2 0.427454
1 0.428237
2 0.429029
2 0.433840
2 0.435393
1 0.436864
2 0.438114
2 0.438658
2 0.439516
1 0.440614
2 0.444290
2 0.446979
2 0.447405
2 0.449504
2 0.450617
2 0.453742
1 0.473672
1 0.499073
1 0.527133
1 0.538252
1 0.550003
1 0.551225
1 0.553913
1 0.555116
1 0.559209
1 0.559388
1 0.571397
1 0.577186
1 0.584067
1 0.598501
1 0.601445
1 0.619451
1 0.630640
1 0.645153
1 0.648850
1 0.649065
1 0.653708
1 0.654602
1 0.661078
1 0.667456
1 0.678653
1 0.688206
1 0.689328
1 0.706118
1 0.707085
1 0.709442
1 0.711884
1 0.714363
1 0.717912
1 0.723308
1 0.726006
1 0.732425
1 0.732799
1 0.733383
1 0.743323
1 0.745004
1 0.750987
1 0.752900
1 0.754953
1 0.756658
1 0.757395
1 0.757501
1 0.761186
1 0.769152
1 0.776033
1 0.780069
1 0.795536
1 0.810477
1 0.813310
1 0.831189
1 0.843779
1 0.847846
1 0.859962
1 0.866740
1 0.869433
1 0.873222
1 0.883859
1 0.953569
1 1.004950
1 1.111786
1 1.214778
1 1.223457
1 1.538151
1 1.690200
End Spectral Lines:
