Symbol: Am
Atomic Number: 95
Atomic Mass: 243.000000
Start Spectral Index: 2
1 27
2 67
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.270715
2 0.272950
2 0.275736
2 0.281293
2 0.281375
2 0.281611
2 0.281681
2 0.283207
2 0.283309
2 0.283478
2 0.286276
2 0.286704
2 0.288936
2 0.289414
2 0.290041
2 0.291071
2 0.291198
2 0.292144
2 0.292839
2 0.293785
2 0.293994
2 0.295125
2 0.295791
2 0.295925
2 0.296389
2 0.296758
2 0.297016
2 0.298811
2 0.299438
2 0.300513
2 0.302887
2 0.302974
2 0.303924
2 0.305458
2 0.312139
2 0.316275
2 0.316878
2 0.320419
2 0.328327
2 0.328762
1 0.334483
2 0.336352
1 0.339598
2 0.342064
1 0.344718
2 0.345309
2 0.348431
1 0.351113
1 0.353196
2 0.356370
1 0.357018
2 0.359710
1 0.360444
1 0.367417
2 0.368562
2 0.369747
2 0.370891
2 0.377857
2 0.392736
2 0.395370
1 0.402139
1 0.403695
2 0.403751
2 0.409044
2 0.409047
1 0.414213
2 0.418930
1 0.426675
1 0.429047
2 0.431086
2 0.432579
2 0.444261
2 0.451071
2 0.457687
2 0.459460
1 0.465042
1 0.465475
1 0.466410
1 0.468296
2 0.470102
1 0.470812
2 0.487358
1 0.499218
1 0.500160
2 0.502236
2 0.521744
1 0.540412
1 0.542621
2 0.558576
1 0.559968
1 0.605632
1 0.640688
1 0.654597
1 0.695750
End Spectral Lines:
