Symbol: Cm
Atomic Number: 96
Atomic Mass: 247.000000
Start Spectral Index: 2
1 140
2 32
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.246351
2 0.261795
2 0.263707
2 0.265196
2 0.265459
2 0.272649
2 0.273770
2 0.274885
2 0.278565
2 0.281245
2 0.282503
2 0.283441
2 0.290075
2 0.291382
2 0.292978
2 0.299705
1 0.300026
2 0.301575
2 0.304574
1 0.311059
1 0.311731
1 0.313807
1 0.314824
1 0.315601
1 0.315951
2 0.317090
1 0.317847
1 0.318002
1 0.318733
1 0.318903
2 0.320805
1 0.320864
2 0.321082
1 0.321087
2 0.321098
2 0.322169
1 0.322516
1 0.322604
2 0.322734
1 0.323121
2 0.323128
1 0.323767
2 0.323948
2 0.324360
1 0.324719
1 0.325362
1 0.326675
1 0.328140
2 0.329766
1 0.330580
1 0.331809
1 0.337567
1 0.345391
1 0.345933
1 0.351128
1 0.352337
1 0.352595
1 0.354307
1 0.354803
1 0.354893
1 0.356246
2 0.357397
1 0.360165
1 0.364098
1 0.366538
1 0.371049
1 0.373006
1 0.373341
1 0.374893
1 0.376412
1 0.377682
1 0.381738
1 0.382623
1 0.383441
1 0.383868
1 0.384309
1 0.385101
1 0.385520
1 0.390135
2 0.390517
2 0.390935
1 0.393778
1 0.394315
1 0.394527
1 0.394980
1 0.395448
1 0.396595
1 0.399623
1 0.401731
1 0.403290
1 0.404943
1 0.405079
1 0.411445
1 0.413087
2 0.420885
1 0.421281
1 0.426765
1 0.429421
1 0.433204
1 0.434691
1 0.444902
1 0.446041
1 0.460969
1 0.584769
1 0.595406
1 0.606058
1 0.624508
1 0.637847
1 0.651196
1 0.655622
1 0.664200
1 0.666509
1 0.668872
1 0.670870
1 0.672854
1 0.679502
1 0.716466
1 0.757989
1 0.767590
1 0.772259
1 0.839468
1 0.929580
1 0.956970
1 0.965977
1 1.031366
1 1.035457
1 1.042735
1 1.051099
1 1.054587
1 1.079521
1 1.090043
1 1.151060
1 1.171093
1 1.178417
1 1.183752
1 1.202114
1 1.239755
1 1.245839
1 1.246840
1 1.300812
1 1.326181
1 1.329347
1 1.334827
1 1.348423
1 1.359373
1 1.364850
1 1.379329
1 1.384396
1 1.391226
1 1.396796
1 1.423916
1 1.433844
1 1.456739
1 1.458422
1 1.502223
1 1.522643
1 1.564686
1 1.576154
1 1.579763
1 1.601278
1 1.715290
1 1.745795
1 1.762409
1 1.807395
1 1.957796
1 1.998143
1 2.053192
1 2.085918
1 2.091723
1 2.097383
1 2.124686
1 2.139907
End Spectral Lines:
