Symbol: Bk
Atomic Number: 97
Atomic Mass: 247.000000
Start Spectral Index: 2
1 120
2 48
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.274883
2 0.282840
2 0.287295
2 0.287941
2 0.288562
2 0.289065
2 0.289451
2 0.291150
2 0.294257
2 0.295262
2 0.297000
2 0.298863
2 0.317939
1 0.324065
2 0.324820
1 0.325313
2 0.326441
1 0.328970
1 0.329030
2 0.330330
1 0.333622
2 0.338842
1 0.340926
2 0.341311
1 0.342793
1 0.343360
1 0.343846
1 0.344365
1 0.345489
2 0.346223
2 0.346512
2 0.347301
2 0.347862
1 0.352973
1 0.353241
1 0.353674
2 0.354320
1 0.355462
1 0.355690
1 0.355754
2 0.356827
1 0.359134
1 0.359691
1 0.360215
2 0.360423
1 0.362864
1 0.363809
1 0.364130
2 0.364197
1 0.367664
2 0.368227
1 0.368548
1 0.368626
1 0.368779
1 0.369378
1 0.369642
1 0.370433
1 0.370507
1 0.370631
2 0.371220
1 0.371399
1 0.372645
1 0.374098
1 0.374411
1 0.374646
1 0.375115
1 0.375298
1 0.375842
1 0.375892
2 0.377213
1 0.378179
1 0.378224
1 0.378646
1 0.378929
1 0.379250
1 0.379729
1 0.379971
2 0.380216
1 0.380343
1 0.380355
1 0.381637
2 0.382418
2 0.382517
1 0.382628
2 0.382693
1 0.382850
1 0.383164
2 0.383266
2 0.383706
1 0.384328
1 0.384771
1 0.384872
1 0.385612
2 0.386098
2 0.387904
1 0.388121
1 0.388370
2 0.389565
2 0.390720
2 0.391327
2 0.391748
1 0.392253
2 0.392916
2 0.414830
2 0.419087
2 0.419862
1 0.433080
1 0.435272
1 0.436487
1 0.442425
1 0.446771
1 0.505814
1 0.511967
2 0.513696
1 0.517205
1 0.519900
1 0.521398
1 0.527342
1 0.539353
1 0.539574
1 0.540612
1 0.545114
1 0.546899
1 0.548610
2 0.551375
1 0.553947
1 0.555834
1 0.555863
1 0.558276
1 0.565811
1 0.566060
1 0.570382
1 0.591235
1 0.704279
1 0.710981
1 0.717820
1 0.725450
1 0.725921
1 0.730895
1 0.751333
1 0.755320
1 0.758186
1 0.773206
1 0.790607
1 0.932186
1 0.943172
1 0.980387
2 0.986509
1 0.988200
1 0.989509
1 1.012898
1 1.018937
1 1.029526
1 1.053059
1 1.057343
1 1.129623
1 1.150345
1 1.157851
1 1.179632
1 1.216238
1 1.306470
1 1.350205
1 1.420081
1 1.514024
1 1.927913
1 1.965859
1 2.390937
1 2.419922
End Spectral Lines:
